col1 col2 col3 col4 col5 col6
86.657 1.832 -2.091 3.9927444e-10 6.0876736e-11 -6.08767695e-11
89.959 1.521 -1.47 5.23740005e-10 7.98538495e-11 -7.9853883e-11
93.264 1.766 -1.783 4.4865612e-10 6.68818455e-11 -6.6881879e-11
97.202 2.576 -2.173 3.226899225e-10 5.03842345e-11 -5.0384268e-11
101.158 1.015 -1.38 6.8170088e-10 1.016222165e-10 -1.016222835e-10
103.746 1.806 -1.573 4.752668450000001e-10 7.246324700000001e-11 -7.246328049999999e-11
107.046 1.824 -1.494 4.3289638000000003e-10 7.411998950000001e-11 -7.412002299999999e-11
110.206 1.43 -1.336 5.75160495e-10 8.57400675e-11 -8.57401345e-11
113.563 2.033 -1.927 3.95201845e-10 6.0255847e-11 -6.02558805e-11
117.685 1.882 -2.089 3.8733169e-10 6.041413450000001e-11 -6.0414168e-11
121.684 2.041 -2.116 3.104111675e-10 5.3133546e-11 -5.3133546e-11
125.179 2.042 -1.454 3.26094293e-10 5.85400105e-11 -5.8540044e-11
129.07 1.745 -1.849 4.4254974e-10 6.59715835e-11 -6.5971617e-11
132.986 1.795 -2.171 2.67367788e-10 4.88145585e-11 -4.88145585e-11
136.933 2.23 -2.152 2.30066543e-10 4.4970065e-11 -4.4970098499999996e-11
141.069 1.442 -1.906 3.19426587e-10 5.928227e-11 -5.92823035e-11
144.921 1.84 -2.41 2.494516195e-10 4.5543518e-11 -4.5543518e-11
149.273 2.32 -2.512 2.19422052e-10 4.0060874500000006e-11 -4.0060908e-11
153.871 1.795 -2.277 2.53957001e-10 4.79635915e-11 -4.7963625e-11
157.253 2.192 -1.587 2.805799535e-10 5.122675950000001e-11 -5.122675950000001e-11
161.246 2.052 -1.801 2.6833051100000004e-10 5.0678264e-11 -5.0678264e-11
165.5 2.095 -2.201 2.346015385e-10 4.58565085e-11 -4.58565085e-11
170.408 3.045 -2.813 1.747797175e-10 3.41634005e-11 -3.4163434e-11
176.257 3.452 -2.803 1.60906128e-10 3.256755095e-11 -3.2567561e-11
183.111 2.625 -3.402 1.71563684e-10 3.3534773e-11 -3.35348065e-11
188.806 2.766 -3.069 1.86378992e-10 3.40280605e-11 -3.40280605e-11
195.017 2.931 -3.445 1.70535837e-10 3.113549295e-11 -3.113550635e-11
201.336 3.738 -3.388 1.436966755e-10 2.808774335e-11 -2.80877534e-11
208.586 3.626 -3.512 1.486441565e-10 2.7138631399999998e-11 -2.7138641450000002e-11
229.316 11.729 -10.837 1.178699175e-10 2.575076995e-11 -2.575076995e-11
251.128 12.483 -10.083 1.1137611000000001e-10 2.49944639e-11 -2.49944639e-11
278.72 12.472 -15.109 9.67700095e-11 2.111694945e-11 -2.111694945e-11
300.979 12.778 -9.788 1.17829349e-10 2.58305904e-11 -2.58305904e-11
323.38 5.421 -9.623 1.68293749e-10 3.7767632e-11 -3.7767632e-11
346.3 12.589 -17.499 9.19193435e-11 1.9683189649999998e-11 -1.9683189649999998e-11
370.968 7.98 -12.079 1.323003775e-10 2.89033511e-11 -2.89033511e-11
390.775 15.753 -11.827 9.1541296e-11 2.04938528e-11 -2.04938528e-11
418.0 11.094 -11.472 1.119607855e-10 2.5095446299999998e-11 -2.5095446299999998e-11
448.25 20.961 -19.156 6.2580948e-11 1.40610421e-11 -1.40610421e-11
489.129 35.243 -19.918 4.5624052e-11 1.026344525e-11 -1.026344525e-11
546.948 32.585 -22.576 4.5212437500000006e-11 1.0183145749999999e-11 -1.0183145749999999e-11
613.841 33.39 -34.308 3.7094751e-11 8.334655950000001e-12 -8.334655950000001e-12
675.498 49.459 -28.268 3.20941256e-11 7.22852615e-12 -7.22852615e-12
789.276 76.092 -64.318 1.7760145600000002e-11 4.0146601e-12 -4.0146601e-12
1109.151 197.504 -243.783 7.8047362e-12 1.3455532950000001e-12 -1.3455532950000001e-12
5120.548 318.586 -280.662 1.05497061e-12 2.74963578e-13 -2.74963578e-13
5614.901 190.301 -175.767 1.7479496e-12 4.549350249999999e-13 -4.549350249999999e-13
6040.95 268.223 -235.748 1.266743875e-12 3.3000364250000003e-13 -3.3000364250000003e-13
6698.016 348.293 -388.844 1.49566043e-12 2.965226705e-13 -2.965226705e-13
11444.009 318.544 -438.665 7.74272435e-13 2.04225581e-13 -2.04225581e-13
12055.174 236.423 -292.621 1.115969755e-12 2.933279765e-13 -2.933279765e-13
12529.632 253.388 -238.035 1.21184642e-12 3.15778906e-13 -3.15778906e-13
17590.787 231.507 -560.803 7.26567095e-13 1.918952695e-13 -1.918952695e-13
18125.538 393.782 -303.244 1.16741135e-12 2.591010265e-13 -2.591010265e-13
23275.816 318.568 -260.619 1.1354479950000002e-12 2.884870255e-13 -2.884870255e-13
37520.824 8214.062 -8512.812 4.33391175e-13 8.19209e-14 -8.19209e-14
100580.497 15413.795 -14500.219 2.2575006799999999e-13 5.6371991e-14 -5.6371991e-14
211938.934 75836.983 -52193.15 8.74586845e-14 2.29997332e-14 -2.29997332e-14
358779.839 84154.057 -55166.264 4.0391419e-14 1.61246689e-14 -1.30355133e-14
