col1 col2 col3 col4 col5 col6
4849.598 44.504 -25.701 5.2119686499999994e-11 1.1269743659999999e-11 -1.1269743659999999e-11
4926.02 20.736 -31.918 6.611857069999999e-11 1.4583833039999998e-11 -1.4583833039999998e-11
4990.595 33.888 -43.839 4.32186902e-11 9.69113915e-12 -9.69113915e-12
5064.302 35.401 -39.819 4.41319942e-11 1.0008344499999999e-11 -1.0008344499999999e-11
5130.75 36.65 -31.048 4.9393395099999995e-11 1.1154024489999999e-11 -1.1154024489999999e-11
5205.834 39.294 -38.433 4.5299023e-11 9.924762049999999e-12 -9.924762049999999e-12
5291.936 48.47 -46.808 3.50182007e-11 7.896654709999999e-12 -7.896654709999999e-12
5367.97 22.582 -27.564 6.69531121e-11 1.503432945e-11 -1.503432945e-11
5435.335 35.451 -44.783 4.36693544e-11 9.61922633e-12 -9.61922633e-12
5530.236 45.857 -59.45 3.1464408499999996e-11 7.145705629999999e-12 -7.145705629999999e-12
5607.529 31.248 -31.436 5.3406833199999994e-11 1.1992510599999999e-11 -1.1992510599999999e-11
5681.697 32.299 -42.92 4.9076074599999996e-11 1.051660673e-11 -1.051660673e-11
5745.316 23.841 -31.32 6.03727173e-11 1.3633378359999999e-11 -1.3633378359999999e-11
5804.217 35.145 -35.06 4.7561786299999996e-11 1.0740408979999999e-11 -1.0740408979999999e-11
5882.478 39.625 -43.116 4.23339763e-11 9.3502458e-12 -9.3502458e-12
5966.533 43.327 -44.429 3.8065727699999997e-11 8.596010009999998e-12 -8.596010009999998e-12
6052.432 42.677 -42.572 3.9141590599999994e-11 8.82648109e-12 -8.82648109e-12
6136.681 43.677 -41.572 3.9390775199999994e-11 8.907826339999999e-12 -8.907826339999999e-12
6209.785 40.778 -29.427 4.7916053499999994e-11 1.0759550199999999e-11 -1.0759550199999999e-11
6314.901 50.998 -64.338 2.903315772e-11 6.584198039999999e-12 -6.584198039999999e-12
6397.208 31.374 -31.309 5.3781300999999996e-11 1.2025861329999999e-11 -1.2025861329999999e-11
6496.574 47.345 -67.992 2.8815636079999996e-11 6.52560314e-12 -6.52560314e-12
6585.25 33.888 -41.331 4.41021539e-11 1.0044350259999999e-11 -1.0044350259999999e-11
6650.688 38.654 -31.551 4.7905624199999994e-11 1.0772364749999999e-11 -1.0772364749999999e-11
6765.412 54.296 -76.069 4.3916005699999993e-11 7.58148916e-12 -7.58148916e-12
10460.574 26.59 -26.064 4.61802824e-11 1.037469916e-11 -1.037469916e-11
