col1 col2 col3 col4 col5 col6
164.781 81.059 -66.873 1.009309312e-11 2.2733305760000003e-12 -2.2733305760000003e-12
298.25 47.883 -52.41 1.4823587240000002e-11 3.3318732480000003e-12 -3.3318732480000003e-12
433.357 60.707 -87.225 9.944731060000002e-12 2.24458718e-12 -2.24458718e-12
595.443 71.627 -101.378 6.70338526e-12 1.509915044e-12 -1.509915044e-12
710.301 54.554 -43.231 8.64277722e-12 1.938727736e-12 -1.938727736e-12
829.263 68.481 -64.408 6.6791313600000005e-12 1.461917754e-12 -1.461917754e-12
985.783 110.035 -88.04 7.840479900000001e-12 1.3046084920000002e-12 -1.3046084920000002e-12
4583.023 78.926 -96.586 4.77127134e-12 1.076155454e-12 -1.076155454e-12
4767.884 89.637 -105.934 4.29341902e-12 9.65581232e-13 -9.65581232e-13
4949.075 91.48 -91.555 3.4035122e-12 8.9244441e-13 -8.9244441e-13
5140.099 78.475 -99.544 4.6764025e-12 1.053740886e-12 -1.053740886e-12
5329.659 74.457 -111.084 3.600762044e-12 9.08886572e-13 -9.08886572e-13
5539.632 75.098 -135.517 2.9739084980000002e-12 7.727890940000001e-13 -7.727890940000001e-13
5691.649 78.536 -76.918 5.63107864e-12 1.2366912140000001e-12 -1.2366912140000001e-12
5889.647 81.123 -119.462 4.16802056e-12 9.364776740000002e-13 -9.364776740000002e-13
6072.492 88.835 -101.722 4.36952428e-12 9.84591652e-13 -9.84591652e-13
6269.711 87.186 -108.385 4.27528376e-12 9.60578234e-13 -9.60578234e-13
6459.004 88.45 -102.107 4.40316932e-12 9.91217062e-13 -9.91217062e-13
6683.988 149.283 -136.533 4.2427869e-12 7.925725720000001e-13 -7.925725720000001e-13
10461.186 152.186 -123.619 2.2968989340000003e-12 6.02518862e-13 -6.02518862e-13
10746.284 102.776 -132.913 2.70257075e-12 7.0893383e-13 -7.0893383e-13
10939.603 82.462 -90.544 3.69782776e-12 9.60989634e-13 -9.60989634e-13
11125.412 107.268 -103.347 3.020506654e-12 7.89371132e-13 -7.89371132e-13
11339.611 116.221 -106.931 2.864236364e-12 7.43664592e-13 -7.43664592e-13
11574.137 84.787 -118.306 3.354590008e-12 8.45235886e-13 -8.45235886e-13
11743.244 136.325 -84.319 2.90156119e-12 7.547578060000001e-13 -7.547578060000001e-13
12181.513 387.551 -301.944 1.7100446880000001e-12 3.2803827980000005e-13 -3.2803827980000005e-13
16716.728 150.129 -268.59 2.056666392e-12 4.761768000000001e-13 -4.761768000000001e-13
18071.682 236.033 -202.745 2.8903359540000003e-12 5.501446500000001e-13 -5.501446500000001e-13
22635.994 228.774 -262.657 1.643608076e-12 3.91481508e-13 -3.91481508e-13
29307.611 348.909 -282.931 1.354120108e-12 3.1364257099999996e-13 -3.1364257099999996e-13
57014.579 1450.932 -1056.317 6.2564403e-13 1.405537254e-13 -1.405537254e-13
62958.324 1244.454 -1207.239 6.97937482e-13 1.328078488e-13 -1.328078488e-13
68459.061 1335.291 -972.544 7.697802640000001e-13 1.647747882e-13 -1.647747882e-13
103938.641 4591.845 -1023.727 4.4397988800000006e-13 1.200471184e-13 -1.200471184e-13
109287.218 697.502 -756.732 5.909140159999999e-13 1.358831386e-13 -1.358831386e-13
116915.475 3991.742 -2518.12 3.80208026e-13 9.469463080000001e-14 -9.469463080000001e-14
253906.897 79338.868 -25541.786 7.99341598e-14 2.2933657559999998e-14 -2.2933657559999998e-14
348045.954 24977.493 -9896.432 7.40254086e-14 3.8203202399999995e-14 -2.8975234859999996e-14
