date	time	instrument	band	integration	mag	mag_limit	dmag	dmag2	date_unit	time_unit	time_frame	integration_time	mag_unit	mag_type	extinction_corrected	dtime
56039.308	664.2	Swift/UVOT	uvw2	38.9	20.27	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.313	1110.2	Swift/UVOT	uvw2	38.9	20.3	0	0.55	0.36	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.373	6244.8	Swift/UVOT	uvw2	332.2	20.5	0	0.19	0.16	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56066.505	2350484.0	Swift/UVOT	uvw2	16823.3	24.05	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.311	935.9	Swift/UVOT	uvm2	77.8	20.84	0	0.75	0.44	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.37	5967.3	Swift/UVOT	uvm2	196.6	20.89	0	0.47	0.33	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.436	11694.8	Swift/UVOT	uvm2	885.6	21.03	0	0.23	0.19	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56066.471	2347530.0	Swift/UVOT	uvm2	16365	23.73	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.311	912.7	Swift/UVOT	uvw1	58.3	20.56	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.364	5454.6	Swift/UVOT	uvw1	393.2	21.43	0	0.48	0.33	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.445	12479.4	Swift/UVOT	uvw1	645.3	21.56	0	0.37	0.28	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.598	25671.6	Swift/UVOT	uvw1	1771.2	21.47	0	0.21	0.18	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.11	2402743.0	Swift/UVOT	uvw1	11529.3	23.43	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.305	387.2	Swift/UVOT	u	245.8	21.06	0	0.51	0.35	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.311	898.9	Swift/UVOT	u	52.9	20.08	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.366	5659.9	Swift/UVOT	u	393.2	21.08	0	0.43	0.31	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.53	19853.4	Swift/UVOT	u	1770.3	21.47	0	0.27	0.21	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.645	29800.8	Swift/UVOT	u	651.6	21.41	0	0.39	0.29	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56042.104	242229.9	Swift/UVOT	u	11277.9	22.94	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56051.997	1096947.0	Swift/UVOT	u	69897.4	23.0	0	0.17	0.14	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56077.011	3258148.0	Swift/UVOT	u	27766.2	23.32	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
