date	instrument	band	mag	mag_limit	dmag	date_unit	mag_type	mag_unit	time_frame	extinction_corrected	time	time_unit	dtime	reference	dmag2
1997-Sep-04.71	HST_STIS	V	28.8	0	0.4	yyyy-month-deciday	AB	apparent	observer	True	188.58638888888888	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Sep-04.71	HST_STIS	R_{c}	27.69	0	0.4	yyyy-month-deciday	AB	apparent	observer	True	188.58638888888888	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Sep-04.71	HST_STIS	I_{c}	26.54	0	0.4	yyyy-month-deciday	AB	apparent	observer	True	188.58638888888888	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Sep-04.71	HST_STIS	V	25.77	0	0.2	yyyy-month-deciday	AB	apparent	observer	True	188.58638888888888	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Sep-04.71	HST_STIS	R_{c}	25.22	0	0.2	yyyy-month-deciday	AB	apparent	observer	True	188.58638888888888	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Sep-04.71	HST_STIS	I_{c}	24.73	0	0.2	yyyy-month-deciday	AB	apparent	observer	True	188.58638888888888	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1998-Sep-01.35	VLT-UT1	B	26.08	1	0.08	yyyy-month-deciday	AB	apparent	observer	True	550.2264699074074	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1998-Sep-01.35	VLT-UT1	V	25.33	1	0.05	yyyy-month-deciday	AB	apparent	observer	True	550.2264699074074	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1998-Sep-01.35	VLT-UT1	R_{c}	25.29	1	0.06	yyyy-month-deciday	AB	apparent	observer	True	550.2264699074074	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Feb-28.86	BUT1.5m	B	22.4	0	0.4	yyyy-month-deciday	apparent	AB	observer	True	0.7363657407407409	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-9.85	INT2.5m	B	25.4	0	0.4	yyyy-month-deciday	apparent	AB	observer	True	9.72636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Feb-28.99	WHT4.2m	V	21.3	0	0.1	yyyy-month-deciday	apparent	AB	observer	True	0.8663657407407408	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-4.86	NOT2.5m	V	24.2	1	NaN	yyyy-month-deciday	apparent	AB	observer	True	4.736377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-26.20	HST/WFPC2	V	26.2	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	26.07636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Apr-7.24	HST/WFPC2	V	26.52	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	38.11637731481481	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Sep-4.71	HST/STIS	V	28.1	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	188.58638888888888	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Feb-28.81	RAO0.6m	R	20.5	0	0.5	yyyy-month-deciday	apparent	AB	observer	True	0.6863657407407409	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Feb-28.83	BUT1.5m	R	21.6	0	0.3	yyyy-month-deciday	apparent	AB	observer	True	0.7063657407407409	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-6.32	KeckII10m	R	24.0	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	6.196377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-9.90	INT2.5m	R	24.0	0	0.2	yyyy-month-deciday	apparent	AB	observer	True	9.776400462962965	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-13.00	NTT3.5m	R	24.3	0	0.2	yyyy-month-deciday	apparent	AB	observer	True	12.876377314814816	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Apr-5.24-6.27	KeckII10m	R	24.9	0	0.3	yyyy-month-deciday-deciday	apparent	AB	observer	True	36.63137152777778	days	0.514994212962963	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-1.00	WHT4.2m	I	20.6	0	0.1	yyyy-month-deciday	apparent	AB	observer	True	0.8763773148148148	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-26.20	HST/WFPC2	I	23.94	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	26.07636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Apr-7.24	HST/WFPC2	I	24.31	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	38.11637731481481	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-30.3-31.2	KeckI10m	J	23.5	0	0.2	yyyy-month-deciday-deciday	apparent	AB	observer	True	30.62640625	days	0.4499594907407407	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1998-Feb-24	HST/NICMOS2	H	25.9	1	NaN	yyyy-month-deciday	apparent	AB	observer	True	360.87638888888887	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-30.2	KeckI10m	K	22.0	0	0.2	yyyy-month-deciday	apparent	AB	observer	True	30.07636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...521L.111R/abstract	NaN
1997-Mar-26	HST_WFC2	V606	26.09	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	25.876377314814818	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Apr-07	HST_WFC2	V606	26.42	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	37.87637731481482	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Mar-26	HST_WFC2	I814	25.37	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	25.876377314814818	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Apr-07	HST_WFC2	I814	25.74	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	37.87637731481482	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Mar-26	HST_WFC2	V	26.2	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	25.876377314814818	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
