date	time mag	dmag	integration	band	instrument	extinction_corrected
February	24.8645	6.7155	17.44	0.07	17.12	0.07	5x100	R	LT	
February	25.0499	6.9009	17.40	0.04	17.08	0.04	2x30	R	VLT	
February	26.0429	7.8939	17.31	0.04	16.98	0.04	2x30	R	VLT	
February	26.8677	8.7187	17.29	0.06	16.96	0.06	3x100	R	LT	
February	27.0512	8.9022	17.28	0.03	16.95	0.03	60	R	VLT	
February	28.0068	9.8578	17.25	0.03	16.91	0.03	2x30	R	VLT	
March	1.0370	10.8880	17.23	0.03	16.89	0.03	2x30	R	VLT	
March	2.0328	11.8838	17.23	0.03	16.89	0.03	2x30	R	VLT	
March	2.8604	12.7114	17.26	0.06	16.93	0.06	5x100	R	LT	
March	3.0360	12.8870	17.24	0.03	16.90	0.03	2x30	R	VLT	
March	3.8601	13.7111	17.25	0.07	16.91	0.07	2x100	R	LT	
March	4.0346	13.8856	17.26	0.03	16.93	0.03	2x30	R	VLT	
March	5.0148	14.8658	17.24	0.04	16.90	0.04	2x30	R	VLT	
March	6.0082	15.8592	17.33	0.03	17.00	0.03	60	R	VLT	
March	6.0394	15.8904	17.33	0.03	17.00	0.03	2x30	R	VLT	
March	6.8834	16.7344	17.36	0.07	17.03	0.07	4x100	R	LT	
March	7.8841	17.7341	17.41	0.06	17.09	0.06	5x100	R	LT	
March	8.0361	17.8871	17.46	0.03	17.14	0.03	60	R	VLT	
March	9.0012	18.8522	17.56	0.03	17.26	0.03	60	R	VLT	
March	10.0038	19.8548	17.60	0.03	17.30	0.03	60	R	VLT	
March	11.9997	21.8507	17.62	0.04	17.32	0.04	60+30	R	VLT	
March	13.0169	22.8679	17.68	0.03	17.39	0.03	60	R	VLT	
March	14.0013	23.8523	17.89	0.03	17.63	0.03	60	R	VLT	 \hline
February	21.0358	2.8868	17.86	0.03	17.80	0.03	2x30	&I	VLT	
February	22.1357	3.9867	17.69	0.08	17.60	0.08	300	&I	KAIT	
February	23.0604	4.9114	17.54	0.03	17.41	0.03	2x30	&I	VLT	
February	23.1346	4.9856	17.49	0.09	17.36	0.09	300	&I	KAIT	
February	24.1356	5.9866	17.31	0.09	17.15	0.09	300	&I	KAIT	
February	25.0514	6.9024	17.25	0.03	17.08	0.03	2x30	&I	VLT	
February	26.0444	7.8954	17.16	0.03	16.98	0.03	2x30	&I	VLT	
February	27.0526	8.9036	17.10	0.03	16.91	0.03	60	&I	VLT	
February	28.0083	9.8593	17.05	0.04	16.85	0.04	2x30	&I	VLT	
March	1.0386	10.8896	17.04	0.03	16.84	0.03	2x30	&I	VLT	
March	2.0328	11.8854	17.03	0.03	16.83	0.03	2x30	&I	VLT	
March	3.0376	12.8886	17.03	0.03	16.83	0.03	2x30	&I	VLT	
March	4.0362	13.8872	17.07	0.04	16.87	0.04	2x30	&I	VLT	
March	5.0165	14.8675	17.01	0.06	16.81	0.06	2x30	&I	VLT	
March	6.0410	15.8920	17.08	0.03	16.89	0.03	2x30	&I	VLT	
March	9.0026	18.8536	17.21	0.03	17.03	0.03	60	&I	VLT	
March	10.0052	19.8562	17.26	0.03	17.09	0.03	60	&I	VLT	
March	11.9993	21.8503	17.35	0.05	17.19	0.05	60+30	&I	VLT	
March	13.0181	22.8691	17.37	0.05	17.21	0.05	60	&I	VLT	
March	14.0027	23.8537	17.48	0.03	17.34	0.03	60	&I	VLT
