date	time	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	instrument	dtime	reference	integration	extinction
2002-Dec-3.792	95.42600	F606W	24.23	0	0.05	yyyy-month-deciday	days	unspecified	HST	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Dec-3.792	95.42600	R	23.81	0	NaN	yyyy-month-deciday	days	unspecified	HST	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2003-Apr-23.955	232.82400	F606W	26.53	0	0.12	yyyy-month-deciday	days	unspecified	HST	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2003-Apr-23.955	232.82400	R	26.11	0	NaN	yyyy-month-deciday	days	unspecified	HST	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2003-Jun-30.652	300.62500	F606W	27.66	0	0.2	yyyy-month-deciday	days	unspecified	HST	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2003-Jun-30.652	300.62500	R	27.24	0	NaN	yyyy-month-deciday	days	unspecified	HST	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Sep-4.115	0.69500	B	21.4	0	0.17	yyyy-month-deciday	days	unspecified	CTIO 4 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-10.177	36.75700	B	24.59	0	0.26	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-11.193	37.77200	B	24.76	0	0.31	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-12.169	38.74900	B	24.77	0	0.32	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-13.163	39.74300	B	24.5	1	NaN	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-14.137	40.71600	B	24.4	1	NaN	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-2.953	29.53300	V	22.8	1	NaN	yyyy-month-deciday	days	unspecified	TNG	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-10.192	36.77200	V	23.4	1	NaN	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-11.7	38.27900	V	23.45	0	0.21	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-13.179	39.75800	V	23.2	1	NaN	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-14.152	40.73100	V	23.1	1	NaN	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Sep-4.080	0.66000	R	20.858	0	0.007	yyyy-month-deciday	days	unspecified	CTIO 4 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Sep-4.32	0.90000	R	19.52	0	0.22	yyyy-month-deciday	days	unspecified	Palomar 5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Sep-9.130	5.70900	R	21.129	0	0.01	yyyy-month-deciday	days	unspecified	CTIO 4 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Sep-10.30	6.88000	R	21.8	0	0.3	yyyy-month-deciday	days	unspecified	Palomar 5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Sep-29.923	26.50300	R	21.729	0	0.089	yyyy-month-deciday	days	unspecified	Asiago	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-2.967	29.54700	R	21.552	0	0.044	yyyy-month-deciday	days	unspecified	TNG	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-10.204	36.78300	R	22.351	0	0.051	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-11.216	37.79600	R	22.279	0	0.052	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-12.193	38.77200	R	22.45	0	0.055	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-13.187	39.76600	R	22.522	0	0.054	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-14.110	40.68900	R	22.498	0	0.065	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-26.062	52.64100	R	23.032	0	0.087	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Sep-4.107	0.68600	I	20.425	0	0.015	yyyy-month-deciday	days	unspecified	CTIO 4 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-2.977	29.55600	I	20.916	0	0.062	yyyy-month-deciday	days	unspecified	TNG	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-10.172	36.75200	I	21.43	0	0.064	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-12.201	38.78000	I	21.442	0	0.06	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Oct-13.071	39.65100	I	21.495	0	0.057	yyyy-month-deciday	days	unspecified	DK 1.5 m	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract	NaN	NaN
2002-Dec-3.8	91.40000	F606W	24.53	0	0.03	yyyy-month-deciday	days	AB	HST	NaN	https://ui.adsabs.harvard.edu/abs/2005ApJ...627..877S/abstract	1840.0	NaN
2002-Dec-3.8	91.40000	R	24.23	0	0.03	yyyy-month-deciday	days	Vega	HST	NaN	https://ui.adsabs.harvard.edu/abs/2005ApJ...627..877S/abstract	1840.0	0.09
2003-Jun-30.6	300.20000	F606W	NaN	0	NaN	yyyy-month-deciday	days	AB	HST	NaN	https://ui.adsabs.harvard.edu/abs/2005ApJ...627..877S/abstract	1920.0	NaN
2002-Sep-4.32	0.90000	R	19.23	0	0.1	yyyy-month-deciday	days	unspecified	Palomar 200 inch	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract	NaN	NaN
2002-Sep-10.30	6.90000	R	20.6	0	0.1	yyyy-month-deciday	days	unspecified	Palomar 200 inch	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract	NaN	NaN
2002-Sep-28.25	24.80000	R	20.8	0	0.2	yyyy-month-deciday	days	unspecified	MDM 1.3 m	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract	NaN	NaN
2002-Oct-7.17	33.80000	R	20.73	0	0.17	yyyy-month-deciday	days	unspecified	Palomar 200 inch	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract	NaN	NaN
2003-Jul-2.47	302.10000	R	21.0	0	0.45	yyyy-month-deciday	days	unspecified	Palomar 200 inch	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract	NaN	NaN
