date	time	band	integration	instrument	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime	reference
2003-Jul-29.158	5.88800	R	300	VLT/FORS1	24.62	0	0.13	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Jul-31.100	7.83000	R	6\times300	VLT/FORS2	25.0	0	0.14	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-3.240	10.97000	R	12\times300	VLT/FORS2	25.16	0	0.07	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-6.228	13.95800	V	6\times600	NTT/SUSI2	24.39	0	0.08	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-6.240	13.97000	i	6\times600	NTT/SUSI2	23.92	0	0.23	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-6.254	13.98400	R	6\times600	NTT/SUSI2	24.28	0	0.07	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-6.308	14.03800	R	6\times600	VLT/FORS1	24.14	0	0.03	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-6.368	14.09800	B	6\times600	NTT/SUSI2	25.04	0	0.1	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-7.291	15.02100	R	180	VLT/FORS2	24.16	0	0.09	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-7.296	15.02600	R	180	VLT/FORS2	24.2	0	0.11	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-8.327	16.05700	R	180	VLT/FORS2	24.04	0	0.13	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-8.331	16.06100	R	180	VLT/FORS2	24.03	0	0.1	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-9.396	17.12600	R	6\times300	VLT/FORS2	24.16	0	0.04	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-10.335	18.06500	R	14\times600	D1.5m/DFOSC	23.88	0	0.44	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-14.168	21.89800	K_{s}	150\times60	VLT/ISAAC	21.19	0	0.11	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-17.052	24.78200	R	15\times600	NTT/SUSI2	25.08	0	0.09	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-19.007	26.73700	B	3\times600	VLT/FORS1	26.8	1	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-19.091	26.82100	U	15\times600	VLT/FORS1	27.0	1	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-19.168	26.89800	R	3\times600	VLT/FORS1	24.99	0	0.06	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Aug-19.191	26.92100	i	3\times600	VLT/FORS1	23.88	0	0.05	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Sep-3.291	42.02100	R	6\times600	VLT/FORS1	25.97	0	0.12	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
2003-Sep-25.135	63.86500	R	4\times600+480	VLT/FORS1	26.58	0	0.29	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609..962F/abstract
