date	date_unit	mag	dmag	mag_limit	mag_unit	mag_type	band	instrument	time	time_unit	time_frame	dtime
50950.29	MJD	13.74	0.05	0	unspecified	apparent	V	NaN	21.380844907407408	days	observer	NaN
50950.36	MJD	13.75	0.05	0	unspecified	apparent	I	NaN	21.450844907407408	days	observer	NaN
50950.39	MJD	14.44	0.05	0	unspecified	apparent	B	NaN	21.48084490740741	days	observer	NaN
50950.39	MJD	13.65	0.05	0	unspecified	apparent	R	NaN	21.48084490740741	days	observer	NaN
50950.39	MJD	14.38	0.1	0	unspecified	apparent	U	NaN	21.48084490740741	days	observer	NaN
50950.39	MJD	13.78	0.05	0	unspecified	apparent	V	NaN	21.48084490740741	days	observer	NaN
50951.35	MJD	13.76	0.05	0	unspecified	apparent	I	NaN	22.440844907407406	days	observer	NaN
50951.37	MJD	14.53	0.05	0	unspecified	apparent	B	NaN	22.460844907407406	days	observer	NaN
50951.37	MJD	13.68	0.05	0	unspecified	apparent	R	NaN	22.460844907407406	days	observer	NaN
50951.37	MJD	14.49	0.1	0	unspecified	apparent	U	NaN	22.460844907407406	days	observer	NaN
50951.37	MJD	13.82	0.05	0	unspecified	apparent	V	NaN	22.460844907407406	days	observer	NaN
50952.33	MJD	13.79	0.05	0	unspecified	apparent	I	NaN	23.420844907407407	days	observer	NaN
50952.36	MJD	14.65	0.05	0	unspecified	apparent	B	NaN	23.450844907407408	days	observer	NaN
50952.36	MJD	13.71	0.05	0	unspecified	apparent	R	NaN	23.450844907407408	days	observer	NaN
50952.36	MJD	14.69	0.1	0	unspecified	apparent	U	NaN	23.450844907407408	days	observer	NaN
50952.36	MJD	13.89	0.05	0	unspecified	apparent	V	NaN	23.450844907407408	days	observer	NaN
50953.22	MJD	13.79	0.05	0	unspecified	apparent	I	NaN	24.310844907407407	days	observer	NaN
50953.24	MJD	14.74	0.05	0	unspecified	apparent	B	NaN	24.330844907407407	days	observer	NaN
50953.24	MJD	13.82	0.05	0	unspecified	apparent	I	NaN	24.330844907407407	days	observer	NaN
50953.24	MJD	13.74	0.05	0	unspecified	apparent	R	NaN	24.330844907407407	days	observer	NaN
50953.24	MJD	14.81	0.1	0	unspecified	apparent	U	NaN	24.330844907407407	days	observer	NaN
50953.24	MJD	13.92	0.05	0	unspecified	apparent	V	NaN	24.330844907407407	days	observer	NaN
50953.61	MJD	13.78	0.05	0	unspecified	apparent	I	NaN	24.700844907407408	days	observer	NaN
50953.64	MJD	13.78	0.05	0	unspecified	apparent	R	NaN	24.73084490740741	days	observer	NaN
50953.64	MJD	13.93	0.05	0	unspecified	apparent	V	NaN	24.73084490740741	days	observer	NaN
