date	time	band	mag	mag_limit	dmag	instrument	date_unit	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
50944	14.5	I_{c}	13.67	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50945	15.5	U	13.79	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50945	15.5	V	14.03	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50945	15.5	B	13.51	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50945	15.5	R_{c}	13.52	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50945	15.5	I_{c}	13.65	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50946	16.5	U	13.85	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50946	16.5	V	14.05	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50946	16.5	B	13.51	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50946	16.5	R_{c}	13.5	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50946	16.5	I_{c}	13.63	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50947	17.5	U	13.93	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50947	17.5	V	14.1	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50947	17.5	B	13.52	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50947	17.5	R_{c}	13.49	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50947	17.5	I_{c}	13.63	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50948	18.4	U	14.02	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50948	18.4	V	14.16	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50948	18.4	B	13.55	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50948	18.4	R_{c}	13.5	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50948	18.4	I_{c}	13.63	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50949	19.4	U	14.13	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50949	19.4	V	14.23	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50949	19.4	B	13.58	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50949	19.4	R_{c}	13.51	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50949	19.4	I_{c}	13.63	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50950	20.4	U	14.25	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50950	20.4	V	14.31	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50950	20.4	B	13.63	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50950	20.4	R_{c}	13.53	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50950	20.4	I_{c}	13.64	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50951	21.4	U	14.38	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50951	21.4	V	14.4	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50951	21.4	B	13.68	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50951	21.4	R_{c}	13.56	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50951	21.4	I_{c}	13.66	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50952	22.4	U	14.52	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50952	22.4	V	14.5	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50952	22.4	B	13.74	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50952	22.4	R_{c}	13.6	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50952	22.4	I_{c}	13.68	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50953	23.4	U	14.66	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50953	23.4	V	14.6	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50953	23.4	B	13.8	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50953	23.4	R_{c}	13.64	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50953	23.4	I_{c}	13.7	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50954	24.4	U	14.8	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50954	24.4	V	14.7	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50954	24.4	B	13.87	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50954	24.4	R_{c}	13.68	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50954	24.4	I_{c}	13.72	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50955	25.4	U	14.95	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50955	25.4	V	14.81	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50955	25.4	B	13.95	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50955	25.4	R_{c}	13.73	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50955	25.4	I_{c}	13.75	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
