date	time	band	mag	mag_limit	dmag	instrument	date_unit	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
50995	65.1	I_{c}	15.07	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50996	66.0	U	16.65	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50996	66.0	V	16.41	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50996	66.0	B	15.62	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50996	66.0	R_{c}	15.32	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50996	66.0	I_{c}	15.09	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50997	67.0	U	16.67	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50997	67.0	V	16.43	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50997	67.0	B	15.64	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50997	67.0	R_{c}	15.35	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50997	67.0	I_{c}	15.12	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50998	68.0	U	16.68	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50998	68.0	V	16.44	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50998	68.0	B	15.66	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50998	68.0	R_{c}	15.37	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50998	68.0	I_{c}	15.14	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50999	69.0	U	16.69	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50999	69.0	V	16.46	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50999	69.0	B	15.69	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50999	69.0	R_{c}	15.39	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50999	69.0	I_{c}	15.16	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51000	70.0	U	16.71	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51000	70.0	V	16.47	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51000	70.0	B	15.7	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51000	70.0	R_{c}	15.42	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51000	70.0	I_{c}	15.18	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51001	71.0	U	16.72	0	0.1	CTIO	MJD	days	AB	apparent	observer	True	NaN
51001	71.0	V	16.49	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51001	71.0	B	15.72	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51001	71.0	R_{c}	15.44	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51001	71.0	I_{c}	15.2	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51002	72.0	U	16.74	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
51002	72.0	V	16.5	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51002	72.0	B	15.74	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51002	72.0	R_{c}	15.46	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51002	72.0	I_{c}	15.23	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51003	73.0	U	16.75	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
51003	73.0	V	16.52	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51003	73.0	B	15.77	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51003	73.0	R_{c}	15.49	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51003	73.0	I_{c}	15.25	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51004	74.0	U	16.77	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51004	74.0	V	16.53	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51004	74.0	B	15.79	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51004	74.0	R_{c}	15.51	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51004	74.0	I_{c}	15.27	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51005	75.0	U	16.78	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51005	75.0	V	16.55	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51005	75.0	B	15.81	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51005	75.0	R_{c}	15.53	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51005	75.0	I_{c}	15.29	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51006	76.0	U	16.8	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51006	76.0	V	16.56	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51006	76.0	B	15.83	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51006	76.0	R_{c}	15.56	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51006	76.0	I_{c}	15.32	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51007	77.0	U	16.81	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
51007	77.0	V	16.58	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51007	77.0	B	15.85	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51007	77.0	R_{c}	15.58	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51007	77.0	I_{c}	15.34	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51008	77.9	U	16.82	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51008	77.9	V	16.59	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51008	77.9	B	15.87	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51008	77.9	R_{c}	15.6	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51008	77.9	I_{c}	15.36	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51009	78.9	U	16.84	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
51009	78.9	V	16.61	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51009	78.9	B	15.89	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51009	78.9	R_{c}	15.62	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51009	78.9	I_{c}	15.38	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51010	79.9	U	16.86	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
51010	79.9	V	16.62	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51010	79.9	B	15.91	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51010	79.9	R_{c}	15.65	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51010	79.9	I_{c}	15.4	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51011	80.9	U	16.87	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
51011	80.9	V	16.64	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51011	80.9	B	15.93	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51011	80.9	R_{c}	15.67	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51011	80.9	I_{c}	15.42	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51012	81.9	U	16.89	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51012	81.9	V	16.65	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51012	81.9	B	15.95	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51012	81.9	R_{c}	15.69	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51012	81.9	I_{c}	15.44	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51013	82.9	U	16.9	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51013	82.9	V	16.67	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51013	82.9	B	15.97	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51013	82.9	R_{c}	15.71	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51013	82.9	I_{c}	15.46	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51014	83.9	U	16.92	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51014	83.9	V	16.68	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51014	83.9	B	15.99	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51014	83.9	R_{c}	15.73	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51014	83.9	I_{c}	15.48	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51015	84.9	U	16.93	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51015	84.9	V	16.7	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51015	84.9	B	16.01	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51015	84.9	R_{c}	15.75	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51015	84.9	I_{c}	15.5	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51016	85.9	U	16.95	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51016	85.9	V	16.71	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51016	85.9	B	16.03	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51016	85.9	R_{c}	15.77	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51016	85.9	I_{c}	15.52	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51017	86.9	V	16.73	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51017	86.9	B	16.05	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51017	86.9	R_{c}	15.79	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51017	86.9	I_{c}	15.54	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51018	87.9	V	16.74	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51018	87.9	B	16.07	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51018	87.9	R_{c}	15.81	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51018	87.9	I_{c}	15.56	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51019	88.9	V	16.76	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51019	88.9	B	16.09	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51019	88.9	R_{c}	15.84	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51019	88.9	I_{c}	15.59	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51020	89.8	V	16.77	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51020	89.8	B	16.11	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51020	89.8	R_{c}	15.86	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51020	89.8	I_{c}	15.61	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51021	90.8	V	16.79	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51021	90.8	B	16.13	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51021	90.8	R_{c}	15.88	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51021	90.8	I_{c}	15.63	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51022	91.8	V	16.8	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51022	91.8	B	16.15	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51022	91.8	R_{c}	15.89	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51022	91.8	I_{c}	15.65	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51023	92.8	V	16.82	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51023	92.8	B	16.17	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51023	92.8	R_{c}	15.91	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51023	92.8	I_{c}	15.67	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51024	93.8	V	16.83	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51024	93.8	B	16.19	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51024	93.8	R_{c}	15.93	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51024	93.8	I_{c}	15.69	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51025	94.8	V	16.85	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51025	94.8	B	16.21	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51025	94.8	R_{c}	15.95	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51025	94.8	I_{c}	15.71	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51026	95.8	V	16.86	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51026	95.8	B	16.23	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51026	95.8	R_{c}	15.97	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51026	95.8	I_{c}	15.73	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51027	96.8	V	16.88	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51027	96.8	B	16.25	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51027	96.8	R_{c}	15.99	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51027	96.8	I_{c}	15.75	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51028	97.8	V	16.9	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51028	97.8	B	16.27	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51028	97.8	R_{c}	16.01	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51028	97.8	I_{c}	15.78	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51029	98.8	V	16.91	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51029	98.8	B	16.29	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51029	98.8	R_{c}	16.03	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51029	98.8	I_{c}	15.8	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51030	99.8	V	16.93	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51030	99.8	B	16.31	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51030	99.8	R_{c}	16.05	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51030	99.8	I_{c}	15.82	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51031	100.8	V	16.94	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51031	100.8	B	16.33	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51031	100.8	R_{c}	16.07	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51031	100.8	I_{c}	15.84	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51032	101.7	V	16.96	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51032	101.7	B	16.35	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51032	101.7	R_{c}	16.09	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51032	101.7	I_{c}	15.86	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51033	102.7	V	16.97	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51033	102.7	B	16.36	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51033	102.7	R_{c}	16.11	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51033	102.7	I_{c}	15.88	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51034	103.7	V	16.99	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51034	103.7	B	16.39	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51034	103.7	R_{c}	16.13	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51034	103.7	I_{c}	15.9	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51035	104.7	V	17.0	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51035	104.7	B	16.4	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51035	104.7	R_{c}	16.16	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51035	104.7	I_{c}	15.93	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51036	105.7	V	17.02	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51036	105.7	B	16.42	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51036	105.7	R_{c}	16.18	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51036	105.7	I_{c}	15.95	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51037	106.7	V	17.04	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51037	106.7	B	16.44	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51037	106.7	R_{c}	16.2	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51037	106.7	I_{c}	15.97	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51038	107.7	V	17.05	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51038	107.7	B	16.46	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51038	107.7	R_{c}	16.22	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51038	107.7	I_{c}	15.99	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51039	108.7	V	17.07	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51039	108.7	B	16.48	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51039	108.7	R_{c}	16.24	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51039	108.7	I_{c}	16.0	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51040	109.7	V	17.08	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51040	109.7	B	16.5	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51040	109.7	R_{c}	16.26	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51040	109.7	I_{c}	16.02	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51041	110.7	V	17.1	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51041	110.7	B	16.52	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51041	110.7	R_{c}	16.28	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51041	110.7	I_{c}	16.04	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51042	111.7	V	17.12	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51042	111.7	B	16.54	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51042	111.7	R_{c}	16.3	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51042	111.7	I_{c}	16.06	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51043	112.7	V	17.13	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51042	111.7	B	16.55	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51042	111.7	R_{c}	16.32	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51042	111.7	I_{c}	16.08	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51044	113.6	V	17.15	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51044	113.6	B	16.57	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51044	113.6	R_{c}	16.33	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51044	113.6	I_{c}	16.1	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51045	114.6	V	17.16	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51045	114.6	B	16.59	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51045	114.6	R_{c}	16.35	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51045	114.6	I_{c}	16.12	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51046	115.6	V	17.18	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51046	115.6	B	16.61	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51046	115.6	R_{c}	16.37	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51046	115.6	I_{c}	16.14	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51047	116.6	V	17.2	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51047	116.6	B	16.63	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51047	116.6	R_{c}	16.39	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51047	116.6	I_{c}	16.16	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51048	117.6	V	17.21	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51048	117.6	B	16.65	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51048	117.6	R_{c}	16.41	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51048	117.6	I_{c}	16.17	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51049	118.6	V	17.23	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51049	118.6	B	16.67	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51049	118.6	R_{c}	16.43	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51049	118.6	I_{c}	16.19	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51050	119.6	V	17.25	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51049	118.6	B	16.69	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51049	118.6	R_{c}	16.45	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51049	118.6	I_{c}	16.21	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51051	120.6	V	17.26	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51051	120.6	B	16.71	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51051	120.6	R_{c}	16.47	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51051	120.6	I_{c}	16.23	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51052	121.6	V	17.28	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51051	120.6	B	16.73	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51051	120.6	R_{c}	16.49	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51051	120.6	I_{c}	16.25	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51053	122.6	V	17.3	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51053	122.6	B	16.74	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51053	122.6	R_{c}	16.5	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51053	122.6	I_{c}	16.26	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51054	123.6	V	17.31	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51054	123.6	B	16.76	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51054	123.6	R_{c}	16.52	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51054	123.6	I_{c}	16.28	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51055	124.6	V	17.33	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51055	124.6	B	16.78	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51055	124.6	R_{c}	16.54	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51055	124.6	I_{c}	16.3	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51056	125.5	V	17.35	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51056	125.5	B	16.8	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51056	125.5	R_{c}	16.56	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51056	125.5	I_{c}	16.32	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51057	126.5	V	17.36	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51057	126.5	B	16.82	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51057	126.5	R_{c}	16.58	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51057	126.5	I_{c}	16.34	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
51058	127.5	V	17.38	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51058	127.5	B	16.84	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51058	127.5	R_{c}	16.6	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51058	127.5	I_{c}	16.35	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
51059	128.5	V	17.4	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51059	128.5	B	16.86	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51059	128.5	R_{c}	16.61	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51059	128.5	I_{c}	16.37	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
51060	129.5	V	17.41	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51060	129.5	B	16.88	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51060	129.5	R_{c}	16.63	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51060	129.5	I_{c}	16.39	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
51061	130.5	V	17.43	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51061	130.5	B	16.89	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51061	130.5	R_{c}	16.65	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51061	130.5	I_{c}	16.41	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51062	131.5	V	17.45	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51062	131.5	B	16.91	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
51062	131.5	R_{c}	16.67	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51062	131.5	I_{c}	16.43	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
51063	132.5	V	17.46	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
