date	time	band	mag	mag_limit	dmag	instrument	date_unit	time_unit	mag_unit	mag_type	time_frame	extinction_correccted	dtime	reference	extinction_corrected	dmag2	seeing	seeing_unit
50988.83	59.92084490740741	R_{c}	15.38	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50988.83	59.92084490740741	I_{c}	15.11	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50998.74	69.83084490740741	U	17.06	0	0.05	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50998.74	69.83084490740741	B	16.77	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50998.74	69.83084490740741	V	15.95	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50998.74	69.83084490740741	R_{c}	15.6	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50998.74	69.83084490740741	I_{c}	15.31	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50999.73	70.8208449074074	U	17.03	0	0.05	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50999.73	70.8208449074074	B	16.78	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
50999.73	70.8208449074074	V	15.98	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
