date	band	mag	mag_limit	dmag	date_unit	mag_unit	mag_type	extinction_corrected	time_frame	time	time_unit	dtime
2006-Feb-28.134	I	16.77	0	0.06	yyyy-month-deciday	unspecified	apparent	True	observer	9.985023148148148	days	NaN
2006-Mar-03.105	B	17.78	0	0.02	yyyy-month-deciday	unspecified	apparent	True	observer	12.95601851851852	days	NaN
2006-Feb-20.168	R	17.76	0	0.06	yyyy-month-deciday	unspecified	apparent	True	observer	2.0190277777777776	days	NaN
2006-Mar-02.130	I	16.7	0	0.1	yyyy-month-deciday	unspecified	apparent	True	observer	11.98101851851852	days	NaN
2006-Mar-04.100	B	17.89	0	0.03	yyyy-month-deciday	unspecified	apparent	True	observer	13.951018518518518	days	NaN
2006-Feb-20.191	R	17.77	0	0.06	yyyy-month-deciday	unspecified	apparent	True	observer	2.042025462962963	days	NaN
2006-Mar-03.089	I	16.72	0	0.05	yyyy-month-deciday	unspecified	apparent	True	observer	12.940023148148148	days	NaN
2006-Mar-06.124	B	18.19	0	0.07	yyyy-month-deciday	unspecified	apparent	True	observer	15.975023148148148	days	NaN
2006-Feb-20.240	R	17.78	0	0.06	yyyy-month-deciday	unspecified	apparent	True	observer	2.0910185185185184	days	NaN
2006-Mar-04.091	I	16.65	0	0.06	yyyy-month-deciday	unspecified	apparent	True	observer	13.942025462962963	days	NaN
2006-Mar-13.114	B	19.2	0	0.05	yyyy-month-deciday	unspecified	apparent	True	observer	22.96502314814815	days	NaN
2006-Feb-21.180	R	17.78	0	0.15	yyyy-month-deciday	unspecified	apparent	True	observer	3.0310185185185183	days	NaN
2006-Mar-06.109	I	16.73	0	0.06	yyyy-month-deciday	unspecified	apparent	True	observer	15.960023148148148	days	NaN
2006-Mar-16.109	B	19.58	0	0.04	yyyy-month-deciday	unspecified	apparent	True	observer	25.96002314814815	days	NaN
2006-Feb-22.161	R	17.4	0	0.02	yyyy-month-deciday	unspecified	apparent	True	observer	4.012025462962963	days	NaN
2006-Mar-13.109	I	17.09	0	0.06	yyyy-month-deciday	unspecified	apparent	True	observer	22.96002314814815	days	NaN
2006-Feb-20.162	V	17.84	0	0.06	yyyy-month-deciday	unspecified	apparent	True	observer	2.013020833333333	days	NaN
2006-Feb-23.192	R	17.22	0	0.03	yyyy-month-deciday	unspecified	apparent	True	observer	5.043020833333333	days	NaN
2006-Mar-16.105	I	17.17	0	0.04	yyyy-month-deciday	unspecified	apparent	True	observer	25.95603009259259	days	NaN
