date	time	mag	mag_limit	dmag	integration	band	instrument	date_unit	extinction_corrected	time_frame	mag_unit	mag_type	time_unit	dtime	reference	seeing	airmass
2006-Feb-24.1275	5.9785	17.28	0	0.08	300	V	KAIT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Feb-24.8713	6.7223	17.19	0	0.06	5x100	V	LT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Feb-25.0483	6.8993	17.16	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Feb-26.0413	7.8923	17.08	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Feb-26.8720	8.723	17.05	0	0.06	5x100	V	LT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Feb-27.0156	8.8666	17.02	0	0.03	60	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Feb-27.0497	8.9007	17.03	0	0.03	60	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Feb-28.0053	9.8563	17.02	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-01.0353	10.8863	17.02	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-02.0313	11.8823	17.04	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
