date	date_unit	mag	dmag	mag_limit	mag_unit	mag_type	band	instrument	time	time_unit	time_frame	dtime
53788.119	MJD	17.95	0.023	0	unspecified	apparent	V	NaN	3.9700300925925927	days	observer	NaN
53788.128	MJD	17.972	0.022	0	unspecified	apparent	V	NaN	3.979030092592593	days	observer	NaN
53788.139	MJD	17.917	0.022	0	unspecified	apparent	V	NaN	3.9900300925925927	days	observer	NaN
53788.147	MJD	18.01	0.023	0	unspecified	apparent	V	NaN	3.9980300925925927	days	observer	NaN
53788.155	MJD	17.975	0.022	0	unspecified	apparent	V	NaN	4.006030092592592	days	observer	NaN
53788.164	MJD	17.921	0.022	0	unspecified	apparent	V	NaN	4.015030092592593	days	observer	NaN
53788.176	MJD	17.957	0.022	0	unspecified	apparent	V	NaN	4.027030092592593	days	observer	NaN
53788.184	MJD	17.941	0.022	0	unspecified	apparent	V	NaN	4.035030092592592	days	observer	NaN
53788.193	MJD	17.916	0.022	0	unspecified	apparent	V	NaN	4.0440300925925925	days	observer	NaN
53789.13	MJD	17.801	0.028	0	unspecified	apparent	V	NaN	4.981030092592593	days	observer	NaN
53790.112	MJD	17.697	0.025	0	unspecified	apparent	V	NaN	5.963030092592593	days	observer	NaN
53790.129	MJD	17.645	0.024	0	unspecified	apparent	V	NaN	5.980030092592592	days	observer	NaN
53791.122	MJD	17.54	0.024	0	unspecified	apparent	V	NaN	6.973030092592593	days	observer	NaN
53791.135	MJD	17.561	0.024	0	unspecified	apparent	V	NaN	6.986030092592593	days	observer	NaN
53792.124	MJD	17.462	0.026	0	unspecified	apparent	V	NaN	7.975030092592592	days	observer	NaN
53792.137	MJD	17.506	0.027	0	unspecified	apparent	V	NaN	7.988030092592592	days	observer	NaN
53793.124	MJD	17.458	0.023	0	unspecified	apparent	V	NaN	8.975030092592593	days	observer	NaN
53793.138	MJD	17.425	0.023	0	unspecified	apparent	V	NaN	8.989030092592593	days	observer	NaN
53794.115	MJD	17.442	0.023	0	unspecified	apparent	V	NaN	9.966030092592591	days	observer	NaN
53796.117	MJD	17.524	0.027	0	unspecified	apparent	V	NaN	11.968030092592592	days	observer	NaN
53797.118	MJD	17.507	0.025	0	unspecified	apparent	V	NaN	12.969030092592591	days	observer	NaN
53798.15	MJD	17.539	0.034	0	unspecified	apparent	V	NaN	14.001030092592591	days	observer	NaN
53803.161	MJD	17.981	0.074	0	unspecified	apparent	V	NaN	19.012030092592592	days	observer	NaN
53803.174	MJD	17.983	0.082	0	unspecified	apparent	V	NaN	19.025030092592598	days	observer	NaN
53805.114	MJD	18.167	0.105	0	unspecified	apparent	V	NaN	20.965030092592592	days	observer	NaN
53807.111	MJD	18.513	0.133	0	unspecified	apparent	V	NaN	22.96203009259259	days	observer	NaN
