Title: Revealing the Jet Structure of GRB030329 with High-Resolution 
       Multicolor Photometry  
Authors: Gorosabel J., Castro-Tirado A.J., Ramirez-Ruiz E., Granot J., Caon N., 
         Cairos L.M., Rubio-Herrera E., Guziy S., de Ugarte Postigo A., 
	 Jelinek M.
Table: Light-Curve Data for GRB 030329
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label      Explanations
--------------------------------------------------------------------------------
   1- 12 F12.7  d       MJD-start  Starting Modified Julian Date of observation
  14- 25 F12.7  d       MJD-end    Ending Modified Julian Date of observation
      27 A1     ---     Filt       Filter used in the observation
  29- 34 F6.3   mag     mag        Observed magnitude in Filt
  36- 40 F5.3   mag   e_mag        Error in mag
--------------------------------------------------------------------------------
2728.4485764 2728.4486921 R 14.707 0.023
2728.4490278 2728.4492014 B 15.373 0.013
2728.4495139 2728.4496296 V 15.029 0.009
2728.4499769 2728.4500926 R 14.713 0.023
2728.4503704 2728.4505440 B 15.384 0.013
2728.4508796 2728.4509954 V 15.026 0.009
2728.4513542 2728.4514699 R 14.705 0.022
2728.4517708 2728.4519444 B 15.381 0.013
2728.4522222 2728.4523380 V 15.032 0.009
2728.4527894 2728.4529051 V 15.037 0.009
2728.4537269 2728.4538426 R 14.716 0.023
2728.4541204 2728.4542940 B 15.385 0.013
2728.4545949 2728.4547106 V 15.041 0.009
2728.4550347 2728.4551505 R 14.719 0.023
2728.4554167 2728.4555903 B 15.403 0.013
2728.4559028 2728.4560185 V 15.050 0.009
2728.4563194 2728.4564352 R 14.720 0.022
2728.4568056 2728.4569792 B 15.399 0.013
2728.4572685 2728.4573843 V 15.048 0.009
2728.4578356 2728.4579514 R 14.724 0.022
2728.4582639 2728.4584375 B 15.410 0.013
2728.4587153 2728.4588310 V 15.052 0.009
2728.4591435 2728.4592593 R 14.729 0.022
2728.4595602 2728.4597338 B 15.405 0.013
2728.4601620 2728.4602778 V 15.059 0.009
2728.4605556 2728.4606713 R 14.734 0.022
2728.4609954 2728.4611690 B 15.411 0.013
2728.4614468 2728.4615625 V 15.061 0.009
2728.4618866 2728.4620023 R 14.738 0.023
2728.4623148 2728.4624884 B 15.415 0.013
2728.4627662 2728.4628819 V 15.071 0.009
2728.4632292 2728.4633449 R 14.749 0.023
2728.4636574 2728.4638310 B 15.419 0.013
2728.4641088 2728.4642245 V 15.067 0.009
2728.4644907 2728.4646065 R 14.745 0.023
2728.4649306 2728.4651042 B 15.421 0.013
2728.4653935 2728.4655093 V 15.078 0.009
2728.4657755 2728.4658912 R 14.753 0.023
2728.4661806 2728.4663542 B 15.427 0.013
2728.4666551 2728.4667708 V 15.079 0.009
2728.4670255 2728.4671412 R 14.751 0.023
2728.4674421 2728.4676157 B 15.428 0.013
2728.4678704 2728.4679861 V 15.081 0.009
2728.4682870 2728.4684028 R 14.757 0.022
2728.4686921 2728.4688657 B 15.437 0.013
2728.4691667 2728.4692824 V 15.087 0.009
2728.4695949 2728.4697106 R 14.759 0.023
2728.4700463 2728.4702199 B 15.435 0.013
2728.4704861 2728.4706019 V 15.088 0.009
2728.4708796 2728.4709954 R 14.764 0.023
2728.4712847 2728.4714583 B 15.443 0.013
2728.4717477 2728.4718634 V 15.092 0.010
2728.4721412 2728.4722569 R 14.770 0.023
2728.4726273 2728.4728009 B 15.454 0.013
2728.4733449 2728.4734606 V 15.099 0.009
2728.4737269 2728.4738426 R 14.771 0.022
2728.4742477 2728.4744213 B 15.454 0.013
2728.4749074 2728.4750231 V 15.103 0.009
2728.4753125 2728.4754282 R 14.779 0.023
2728.4757060 2728.4758796 B 15.454 0.013
2728.4761458 2728.4762616 V 15.104 0.009
2728.4769444 2728.4771181 B 15.465 0.013
2728.4774074 2728.4775231 V 15.117 0.009
2728.4778125 2728.4779282 R 14.784 0.022
2728.4781944 2728.4783681 B 15.466 0.013
