time	mag	mag_limit	dmag	seeing	airmass	time_unit	mag_unit	band	dtime
1.99	18.31	0	0.09	2.93	1.1	days	unspecified	J	NaN
1.99	17.97	0	0.21	2.93	1.1	days	unspecified	H	NaN
1.99	17.72	0	0.48	2.93	1.1	days	unspecified	Ks	NaN
2.98	18.18	0	0.09	2.64	1.11	days	unspecified	J	NaN
2.98	18.04	0	0.33	2.64	1.11	days	unspecified	H	NaN
2.98	17.26	0	0.15	2.64	1.11	days	unspecified	Ks	NaN
4.01	17.85	0	0.19	2.76	1.2	days	unspecified	J	NaN
4.01	17.89	0	0.17	2.76	1.2	days	unspecified	H	NaN
4.01	17.1	0	0.1	2.76	1.2	days	unspecified	Ks	NaN
4.98	17.58	0	0.02	2.77	1.22	days	unspecified	J	NaN
4.98	17.59	0	0.13	2.77	1.22	days	unspecified	H	NaN
4.98	16.91	0	0.2	2.77	1.22	days	unspecified	Ks	NaN
5.98	17.25	0	0.05	2.89	1.32	days	unspecified	J	NaN
5.98	17.34	0	0.13	2.89	1.32	days	unspecified	H	NaN
5.98	16.63	0	0.42	2.89	1.32	days	unspecified	Ks	NaN
6.96	17.15	0	0.07	2.85	1.32	days	unspecified	J	NaN
6.96	17.15	0	0.11	2.85	1.32	days	unspecified	H	NaN
6.96	16.69	0	0.1	2.85	1.32	days	unspecified	Ks	NaN
7.97	17.12	0	0.04	2.92	1.43	days	unspecified	J	NaN
7.97	17.13	0	0.3	2.92	1.43	days	unspecified	H	NaN
7.97	16.28	0	0.11	2.92	1.43	days	unspecified	Ks	NaN
8.96	16.96	0	0.06	2.95	1.29	days	unspecified	J	NaN
8.96	16.89	0	0.11	2.95	1.29	days	unspecified	H	NaN
8.96	16.35	0	0.16	2.95	1.29	days	unspecified	Ks	NaN
9.98	17.14	0	0.07	2.85	1.29	days	unspecified	J	NaN
9.98	16.79	0	0.04	2.85	1.29	days	unspecified	H	NaN
12.98	16.88	0	0.04	1.45	1.21	days	unspecified	J	NaN
12.98	16.85	0	0.03	1.45	1.21	days	unspecified	H	NaN
12.98	16.32	0	0.21	1.45	1.21	days	unspecified	Ks	NaN
13.99	16.97	0	0.02	2.82	1.22	days	unspecified	J	NaN
13.99	16.73	0	0.05	2.82	1.22	days	unspecified	H	NaN
14.96	16.89	0	0.03	2.64	1.39	days	unspecified	J	NaN
14.96	16.83	0	0.05	2.64	1.39	days	unspecified	H	NaN
14.96	16.48	0	0.09	2.64	1.39	days	unspecified	Ks	NaN
16.0	16.93	0	0.05	2.83	1.37	days	unspecified	J	NaN
