date	time	band	integration	mag	mag_limit	dmag	instrument	date_unit	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime
2006-Feb-28.010	9.861	U	200	17.79	0	0.1	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-28.016	9.867	U	600	17.77	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-28.024	9.875	U	600	17.87	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-01.012	10.863	U	600	17.85	0	0.1	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-02.003	11.854	U	200	18.48	0	0.24	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-02.007	11.858	U	200	18.16	0	0.25	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-02.012	11.863	U	600	18.04	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-02.914	12.765	U	300	18.0	0	0.14	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-03.003	12.854	U	200	18.06	0	0.18	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-03.009	12.86	U	600	18.19	0	0.1	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-04.005	13.856	U	200	18.01	0	0.15	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-04.010	13.861	U	600	18.45	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-05.005	14.856	U	200	18.31	0	0.18	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-05.011	14.862	U	600	18.46	0	0.12	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-06.006	15.857	U	200	18.57	0	0.2	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-06.012	15.863	U	600	18.48	0	0.13	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-06.851	16.702	U	900	18.79	0	0.17	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-07.854	17.705	U	900	18.89	0	0.15	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-08.866	18.717	U	900	18.79	0	0.16	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-10.878	20.729	U	1500	19.16	0	0.2	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-14.864	24.715	U	2400	19.55	0	0.15	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.013	2.864	V	120	18.22	0	0.05	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.015	2.866	V	120	18.16	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.017	2.868	V	120	18.21	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.034	2.885	V	300	18.21	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.051	2.902	V	600	18.17	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.020	3.871	V	120	18.01	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.022	3.873	V	120	18.02	0	0.05	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.040	3.891	V	300	18.01	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.045	3.896	V	300	18.0	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.049	3.9	V	300	18.03	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.027	4.878	V	300	17.84	0	0.05	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.031	4.882	V	300	17.87	0	0.02	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.046	4.897	V	300	17.84	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.050	4.901	V	300	17.85	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-24.041	5.892	V	300	17.71	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-25.041	6.892	V	300	17.61	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-26.031	7.882	V	300	17.53	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-27.032	8.883	V	300	17.5	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-28.031	9.882	V	300	17.49	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-01.018	10.869	V	200	17.5	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-02.019	11.87	V	200	17.5	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-02.924	12.775	V	300	17.52	0	0.04	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-03.016	12.867	V	200	17.54	0	0.05	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-04.017	13.868	V	200	17.61	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-05.018	14.869	V	200	17.62	0	0.15	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-06.863	16.714	V	300	17.77	0	0.1	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-07.002	16.853	V	300	17.74	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-07.012	16.863	V	300	17.81	0	0.02	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-07.863	17.714	V	300	17.85	0	0.08	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-08.002	17.853	V	300	17.92	0	0.07	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-08.006	17.857	V	300	17.84	0	0.07	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-08.874	18.725	V	300	18.0	0	0.09	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-09.008	18.859	V	450	17.94	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-09.837	19.688	V	300	18.04	0	0.11	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-11.004	20.855	V	300	18.12	0	0.07	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-12.000	21.851	V	200	18.2	0	0.07	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-12.999	22.85	V	100	18.24	0	0.17	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-13.859	23.71	V	900	18.26	0	0.06	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-13.995	23.846	V	100	18.29	0	0.09	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-15.992	25.843	V	180	18.34	0	0.12	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-18.840	28.691	V	900	18.65	0	0.07	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-20.852	30.703	V	900	18.78	0	0.06	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.021	2.872	R	200	18.0	0	0.02	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.025	2.876	R	300	17.97	0	0.09	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.029	2.88	R	300	17.99	0	0.09	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.041	2.892	R	600	17.99	0	0.07	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.057	2.908	R	150	18.0	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-21.915	3.766	R	900	17.79	0	0.03	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.026	3.877	R	300	17.8	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.031	3.882	R	300	17.82	0	0.06	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.054	3.905	R	300	17.81	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-22.898	4.749	R	900	17.64	0	0.03	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.016	4.867	R	200	17.62	0	0.07	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.019	4.87	R	200	17.64	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.023	4.874	R	200	17.63	0	0.09	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.036	4.887	R	300	17.61	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.041	4.892	R	300	17.64	0	0.09	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-23.879	5.73	R	250	17.51	0	0.04	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-24.036	5.887	R	300	17.49	0	0.1	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-24.854	6.705	R	300	17.36	0	0.04	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-25.036	6.887	R	300	17.38	0	0.05	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-26.036	7.887	R	300	17.29	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-27.037	8.888	R	300	17.25	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Feb-28.035	9.886	R	300	17.21	0	0.02	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-01.023	10.874	R	200	17.26	0	0.04	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-02.022	11.873	R	200	17.21	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-02.849	12.7	R	300	17.22	0	0.03	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-03.020	12.871	R	200	17.24	0	0.09	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-04.020	13.871	R	200	17.26	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-05.022	14.873	R	200	17.3	0	0.18	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-06.843	16.694	R	300	17.43	0	0.07	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-07.016	16.867	R	300	17.34	0	0.06	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-07.020	16.871	R	200	17.35	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-07.867	17.718	R	300	17.43	0	0.06	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-08.012	17.863	R	300	17.4	0	0.02	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-08.017	17.868	R	300	17.43	0	0.05	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-08.848	18.699	R	1500	17.43	0	0.03	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-09.841	19.692	R	300	17.51	0	0.07	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-10.010	19.861	R	400	17.47	0	0.07	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-11.009	20.86	R	300	17.6	0	0.03	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-12.005	21.856	R	400	17.68	0	0.02	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-13.001	22.852	R	150	17.76	0	0.09	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-13.872	23.723	R	900	17.8	0	0.04	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-13.998	23.849	R	100	17.79	0	0.08	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-14.000	23.851	R	100	17.81	0	0.06	D1.5m	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-18.860	28.711	R	900	18.1	0	0.04	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-20.866	30.717	R	900	18.12	0	0.04	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-27.889	37.74	R	1800	18.43	0	0.04	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-28.874	38.725	R	1800	18.58	0	0.03	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-29.874	39.725	R	2100	18.6	0	0.03	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Mar-31.884	41.735	R	1800	18.63	0	0.08	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
2006-Apr-07.858	48.709	R	1800	18.89	0	0.05	NOT	yyyy-month-deciday	days	observer	Vega	apparent	False	NaN
