date	date_unit	mag	dmag	mag_limit	mag_unit	mag_type	band	instrument	time	time_unit	time_frame	dtime
53784.1506	MJD	16.878	NaN	0	unspecified	apparent	V	NaN	0.0016300925925926	days	observer	NaN
53784.1519	MJD	18.926	NaN	0	unspecified	apparent	V	NaN	0.0029300925925926	days	observer	NaN
53784.1543	MJD	19.31	0.242	0	unspecified	apparent	B	NaN	0.0053300925925925	days	observer	NaN
53784.1559	MJD	17.868	NaN	0	unspecified	apparent	UVW2	NaN	0.0069300925925926	days	observer	NaN
53784.1562	MJD	17.692	NaN	0	unspecified	apparent	V	NaN	0.0072300925925926	days	observer	NaN
53784.1565	MJD	17.42	NaN	0	unspecified	apparent	UVM2	NaN	0.0075300925925925	days	observer	NaN
53784.1567	MJD	17.855	NaN	0	unspecified	apparent	UVW1	NaN	0.0077300925925925	days	observer	NaN
53784.157	MJD	17.91	0.289	0	unspecified	apparent	U	NaN	0.0080300925925926	days	observer	NaN
53784.1573	MJD	18.733	NaN	0	unspecified	apparent	B	NaN	0.0083300925925925	days	observer	NaN
53784.1578	MJD	17.897	NaN	0	unspecified	apparent	UVW2	NaN	0.0088300925925925	days	observer	NaN
53784.1581	MJD	17.72	NaN	0	unspecified	apparent	V	NaN	0.0091300925925926	days	observer	NaN
53784.1584	MJD	17.448	NaN	0	unspecified	apparent	UVM2	NaN	0.0094300925925925	days	observer	NaN
53784.1597	MJD	19.326	0.241	0	unspecified	apparent	B	NaN	0.0107300925925926	days	observer	NaN
53784.1621	MJD	18.616	0.268	0	unspecified	apparent	V	NaN	0.0131300925925926	days	observer	NaN
53784.1634	MJD	17.421	NaN	0	unspecified	apparent	UVM2	NaN	0.0144300925925925	days	observer	NaN
53784.1637	MJD	17.883	NaN	0	unspecified	apparent	UVW1	NaN	0.0147300925925926	days	observer	NaN
53784.164	MJD	17.533	0.225	0	unspecified	apparent	U	NaN	0.0150300925925926	days	observer	NaN
53784.1643	MJD	18.801	NaN	0	unspecified	apparent	B	NaN	0.0153300925925926	days	observer	NaN
53784.1648	MJD	17.397	0.298	0	unspecified	apparent	UVW2	NaN	0.0158300925925926	days	observer	NaN
53784.1651	MJD	17.349	NaN	0	unspecified	apparent	V	NaN	0.0161300925925926	days	observer	NaN
53784.1654	MJD	17.005	0.298	0	unspecified	apparent	UVM2	NaN	0.0164300925925925	days	observer	NaN
53784.1657	MJD	17.486	0.292	0	unspecified	apparent	UVW1	NaN	0.0167300925925925	days	observer	NaN
