time	freq	flux_density	flux_density_limit	dflux_density	time_unit	freq_unit	flux_density_unit	dtime	time_frame	instrument	reference
10.33100	9.0	1.5	0	0.021	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
16.29700	9.0	0.927	0	0.019	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
20.37700	9.0	0.802	0	0.016	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
24.26200	9.0	0.56	0	0.05	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
35.31500	9.0	0.42	0	0.02	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
52.30700	9.0	0.24	0	0.02	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
72.51500	9.0	0.15	0	0.01	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
119.28200	9.0	0.108	0	0.015	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
138.21700	9.0	0.094	0	0.014	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
1.42400	5.5	1.93	0	0.03	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.48900	5.5	1.14	0	0.03	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
5.30100	5.5	1.77	0	0.037	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
9.33400	5.5	2.21	0	0.032	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
10.33100	5.5	1.2	0	0.031	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
16.29700	5.5	0.735	0	0.023	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
20.37700	5.5	0.72	0	0.018	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
24.26200	5.5	0.67	0	0.04	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
35.31500	5.5	0.48	0	0.03	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
