time	band	mag	mag_limit	dmag	instrument	seeing	time_unit	mag_unit	mag_type	extinction_corrected	dtime	time_frame
0.677	g'	20.61	0	0.32	GIT	3.63	days	AB	apparent	False	NaN	observer
0.697	r'	19.46	0	0.07	GIT	3.23	days	AB	apparent	False	NaN	observer
0.707	i'	19.48	0	0.16	GIT	3.77	days	AB	apparent	False	NaN	observer
0.724	R	19.39	0	0.06	DFOT	3.18	days	Vega	apparent	False	NaN	observer
0.729	R	19.46	0	0.07	DFOT	3.25	days	Vega	apparent	False	NaN	observer
0.748	R	19.7	0	0.1	HCT	2.18	days	Vega	apparent	False	NaN	observer
0.803	R	19.81	0	0.09	HCT	2.1	days	Vega	apparent	False	NaN	observer
1.827	r'	19.96	0	0.2	GIT	3.27	days	AB	apparent	False	NaN	observer
1.839	r'	20.04	0	0.26	GIT	3.44	days	AB	apparent	False	NaN	observer
2.715	r'	20.71	0	0.27	GIT	3.57	days	AB	apparent	False	NaN	observer
2.782	i'	19.78	0	0.24	GIT	3.21	days	AB	apparent	False	NaN	observer
3.819	i'	19.53	0	0.45	GIT	4.18	days	AB	apparent	False	NaN	observer
4.813	r'	20.23	0	0.37	GIT	4.51	days	AB	apparent	False	NaN	observer
9.753	R	21.38	0	0.16	HCT	2.73	days	Vega	apparent	False	NaN	observer
9.757	r'	21.53	0	0.32	GIT	3.98	days	AB	apparent	False	NaN	observer
9.791	i'	20.35	0	0.39	GIT	4.04	days	AB	apparent	False	NaN	observer
10.788	g'	21.96	0	0.4	GIT	4.08	days	AB	apparent	False	NaN	observer
10.801	r'	21.35	0	0.41	GIT	4.01	days	AB	apparent	False	NaN	observer
10.813	i'	20.05	0	0.37	GIT	4.05	days	AB	apparent	False	NaN	observer
11.77	r'	21.44	0	0.45	GIT	4.35	days	AB	apparent	False	NaN	observer
11.782	i'	20.32	0	0.36	GIT	4.07	days	AB	apparent	False	NaN	observer
12.757	r'	21.65	0	0.35	GIT	4.85	days	AB	apparent	False	NaN	observer
12.768	r'	21.74	0	0.41	GIT	4.95	days	AB	apparent	False	NaN	observer
12.8	i'	20.11	0	0.22	GIT	3.81	days	AB	apparent	False	NaN	observer
13.703	g'	21.7	0	0.4	GIT	4.04	days	AB	apparent	False	NaN	observer
13.726	r'	21.56	0	0.36	GIT	4.03	days	AB	apparent	False	NaN	observer
13.736	r'	21.44	0	0.28	GIT	4.03	days	AB	apparent	False	NaN	observer
13.747	i'	20.29	0	0.24	GIT	3.97	days	AB	apparent	False	NaN	observer
15.692	r'	21.35	0	0.31	GIT	4.12	days	AB	apparent	False	NaN	observer
15.728	i'	20.59	0	0.35	GIT	4.01	days	AB	apparent	False	NaN	observer
18.736	i'	20.76	0	0.33	GIT	3.97	days	AB	apparent	False	NaN	observer
19.772	i'	20.57	0	0.24	GIT	3.72	days	AB	apparent	False	NaN	observer
24.709	r'	21.26	0	0.3	GIT	4.09	days	AB	apparent	False	NaN	observer
24.724	i'	20.42	0	0.3	GIT	4.09	days	AB	apparent	False	NaN	observer
25.697	r'	21.25	0	0.31	GIT	4.17	days	AB	apparent	False	NaN	observer
25.714	i'	20.7	0	0.4	GIT	4.18	days	AB	apparent	False	NaN	observer
0.677	g'	20.61	0	0.32	GIT	3.63	days	AB	apparent	False	NaN	observer
0.697	r'	19.46	0	0.07	GIT	3.23	days	AB	apparent	False	NaN	observer
0.707	i'	19.48	0	0.16	GIT	3.77	days	AB	apparent	False	NaN	observer
0.724	R	19.39	0	0.06	DFOT	3.18	days	Vega	apparent	False	NaN	observer
0.729	R	19.46	0	0.07	DFOT	3.25	days	Vega	apparent	False	NaN	observer
0.748	R	19.7	0	0.1	HCT	2.18	days	Vega	apparent	False	NaN	observer
0.803	R	19.81	0	0.09	HCT	2.1	days	Vega	apparent	False	NaN	observer
1.827	r'	19.96	0	0.2	GIT	3.27	days	AB	apparent	False	NaN	observer
1.839	r'	20.04	0	0.26	GIT	3.44	days	AB	apparent	False	NaN	observer
2.715	r'	20.71	0	0.27	GIT	3.57	days	AB	apparent	False	NaN	observer
2.782	i'	19.78	0	0.24	GIT	3.21	days	AB	apparent	False	NaN	observer
3.819	i'	19.53	0	0.45	GIT	4.18	days	AB	apparent	False	NaN	observer
4.813	r'	20.23	0	0.37	GIT	4.51	days	AB	apparent	False	NaN	observer
9.753	R	21.38	0	0.16	HCT	2.73	days	Vega	apparent	False	NaN	observer
9.757	r'	21.53	0	0.32	GIT	3.98	days	AB	apparent	False	NaN	observer
9.791	i'	20.35	0	0.39	GIT	4.04	days	AB	apparent	False	NaN	observer
10.788	g'	21.96	0	0.4	GIT	4.08	days	AB	apparent	False	NaN	observer
10.801	r'	21.35	0	0.41	GIT	4.01	days	AB	apparent	False	NaN	observer
10.813	i'	20.05	0	0.37	GIT	4.05	days	AB	apparent	False	NaN	observer
11.77	r'	21.44	0	0.45	GIT	4.35	days	AB	apparent	False	NaN	observer
11.782	i'	20.32	0	0.36	GIT	4.07	days	AB	apparent	False	NaN	observer
12.757	r'	21.65	0	0.35	GIT	4.85	days	AB	apparent	False	NaN	observer
12.768	r'	21.74	0	0.41	GIT	4.95	days	AB	apparent	False	NaN	observer
12.8	i'	20.11	0	0.22	GIT	3.81	days	AB	apparent	False	NaN	observer
13.703	g'	21.7	0	0.4	GIT	4.04	days	AB	apparent	False	NaN	observer
13.726	r'	21.56	0	0.36	GIT	4.03	days	AB	apparent	False	NaN	observer
13.736	r'	21.44	0	0.28	GIT	4.03	days	AB	apparent	False	NaN	observer
13.747	i'	20.29	0	0.24	GIT	3.97	days	AB	apparent	False	NaN	observer
15.692	r'	21.35	0	0.31	GIT	4.12	days	AB	apparent	False	NaN	observer
15.728	i'	20.59	0	0.35	GIT	4.01	days	AB	apparent	False	NaN	observer
18.736	i'	20.76	0	0.33	GIT	3.97	days	AB	apparent	False	NaN	observer
19.772	i'	20.57	0	0.24	GIT	3.72	days	AB	apparent	False	NaN	observer
24.709	r'	21.26	0	0.3	GIT	4.09	days	AB	apparent	False	NaN	observer
24.724	i'	20.42	0	0.3	GIT	4.09	days	AB	apparent	False	NaN	observer
25.697	r'	21.25	0	0.31	GIT	4.17	days	AB	apparent	False	NaN	observer
25.714	i'	20.7	0	0.4	GIT	4.18	days	AB	apparent	False	NaN	observer
