col1	col2	col3	col4	col5	col6	col7
4885.749	53.598	-44.187	4.288813e-01	9.677198e-02	-9.677198e-02	7
5002.814	51.869	-63.467	3.571234e-01	8.076407e-02	-8.076407e-02	7
5109.348	68.194	-54.664	3.371683e-01	7.607802e-02	-7.607802e-02	7
5266.343	66.652	-88.801	2.689279e-01	6.061156e-02	-6.061156e-02	7
5377.062	43.689	-44.067	3.173793e-01	7.104814e-02	-7.104814e-02	7
5467.949	43.065	-47.198	2.675092e-01	6.002368e-02	-6.002368e-02	7
5580.729	58.158	-69.715	1.890449e-01	4.236905e-02	-4.236905e-02	7
5703.835	55.403	-64.948	1.995056e-01	4.502447e-02	-4.502447e-02	7
5799.414	65.130	-40.177	2.288104e-01	5.145907e-02	-5.145907e-02	7
5925.970	51.403	-61.426	2.245226e-01	4.921017e-02	-4.921017e-02	7
6046.934	48.283	-69.561	2.053106e-01	4.628092e-02	-4.628092e-02	7
6129.783	48.175	-34.566	2.978240e-01	6.674881e-02	-6.674881e-02	7
6285.284	128.362	-107.326	2.581171e-01	4.266832e-02	-4.266832e-02	7
9827.358	187.867	-210.796	6.165437e-02	1.604502e-02	-1.604502e-02	7
10327.425	244.424	-312.200	4.300663e-02	1.128135e-02	-1.128135e-02	7
10800.050	127.837	-228.201	6.858025e-02	1.795604e-02	-1.795604e-02	7
11127.377	184.128	-199.491	6.353786e-02	1.659697e-02	-1.659697e-02	7
11757.257	429.287	-445.752	5.192777e-02	9.931328e-03	-9.931328e-03	7
15762.453	373.240	-373.940	2.862194e-02	7.543606e-03	-7.543606e-03	7
16467.522	327.593	-331.829	3.211720e-02	8.417153e-03	-8.417153e-03	7
17421.270	536.391	-626.154	2.216975e-02	5.391631e-03	-5.391631e-03	7
22287.998	1439.668	-1110.256	9.919127e-03	2.368087e-03	-2.368087e-03	7
