time	integration	mag	mag_limit	dmag	band	instrument	integration_unit	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime	reference
0.0232405092592592	20.0	16.57	0	0.13	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0240599537037037	20.0	16.54	0	0.12	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0248898148148148	20.0	16.56	0	0.13	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0257	20.0	16.6	0	0.12	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0265206018518518	20.0	16.63	0	0.12	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0273400462962962	20.0	16.58	0	0.12	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0281606481481481	20.0	16.58	0	0.11	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0289800925925925	20.0	16.61	0	0.11	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0333805555555555	20.0	16.71	0	0.11	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0342	20.0	16.69	0	0.13	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0350206018518518	20.0	16.82	0	0.13	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0358504629629629	20.0	16.83	0	0.12	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0366699074074074	20.0	16.79	0	0.13	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0374905092592592	20.0	16.87	0	0.12	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0397208333333333	20.0	16.99	0	0.14	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0405703703703703	20.0	17.03	0	0.13	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0413898148148148	20.0	17.07	0	0.14	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0422300925925925	20.0	17.15	0	0.16	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0430506944444444	20.0	16.95	0	0.14	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0438701388888888	20.0	17.08	0	0.14	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0446907407407407	20.0	17.03	0	0.12	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0455101851851851	20.0	17.18	0	0.18	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.046330787037037	20.0	17.17	0	0.17	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0471502314814814	20.0	17.14	0	0.15	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0479800925925925	20.0	17.22	0	0.18	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0488006944444444	20.0	17.52	0	0.22	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0496201388888888	20.0	17.17	0	0.16	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.050430324074074	20.0	17.17	0	0.17	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0512497685185185	20.0	17.32	0	0.19	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0520703703703703	20.0	17.41	0	0.22	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0528898148148148	20.0	17.29	0	0.21	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
