"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"100327","SN 2022bqt","00:51:26.714","+40:43:46.35","SN Ic-BL","0.01953","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS22ffi","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.397","orange-ATLAS","2022-02-08 05:38:30.048","ATLAS_Bot1","",""
"99154","SN 2022ys","02:21:47.203","-10:01:38.15","SN Ic-BL","0.017455","","","ATLAS","ATLAS","SCAT, None","ATLAS","ATLAS22btr","ATLAS-HKO - ATLAS-02","Other - Other, UH88 - SNIFS","1","1","","17.21","orange-ATLAS","2022-01-17 06:40:19.200","ATLAS_Bot1","",""
"97818","SN 2021agqh","10:12:58.540","-16:16:32.56","SN Ic-BL","0.05","","","GaiaAlerts, ATLAS, Pan-STARRS","GaiaAlerts, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS","Gaia21fss","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.94","G-Gaia","2021-12-24 00:20:09.600","Gaia_Bot1","",""
"97742","SN 2021agnl","01:33:05.655","+29:46:24.33","SN Ic-BL","0.0546","WISEA J013305.78+294626.6","0.054609","XOSS, ATLAS","XOSS, ATLAS","None","ATLAS; XOSS","XM87HT","ATLAS-HKO - ATLAS-02, Other - Other","Lijiang-2.4m - YFOSC","1","1","","18.1","Clear-","2021-12-24 15:15:36.576","Tan","",""
"96192","SN 2021aein","23:25:48.660","+44:06:21.24","SN Ic-BL","0.008","","","GaiaAlerts","GaiaAlerts","None","GaiaAlerts","Gaia21fcw","Gaia - Gaia-photometric","Other - Other","1","1","","15.93","G-Gaia","2021-11-11 04:10:33.600","Gaia_Bot1","",""
"94979","SN 2021acpm","05:12:23.001","-13:12:19.43","SN Ic-BL","0.042","WISEA J051223.07-131220.9","","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF, ePESSTO+","ALeRCE; ATLAS; Pan-STARRS","ZTF21acjmvhx","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.3798","r-ZTF","2021-10-30 10:08:06.996","ALeRCE","",""
"94707","SN 2021acfe","00:49:30.761","+23:51:42.33","SN Ic-BL","0.045","","","ZTF, AMPEL, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","SCAT, ePESSTO+","AMPEL; ATLAS; Pan-STARRS; ZTF","ZTF21aciuhqw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, UH88 - SNIFS","1","1","","19.3","g-ZTF","2021-10-25 05:22:33.600","ZTF_Bot1","",""
"93855","SN 2021aazw","23:47:34.310","-07:48:25.09","SN Ic-BL","0.023563","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21acgxypn","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","19.02","r-ZTF","2021-10-10 07:10:33.600","ZTF_Bot1","",""
"93216","SN 2021aabp","23:09:55.085","+09:41:08.98","SN Ic-BL","0.07","SDSS J230955.65+094116.2","","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ALeRCE; ATLAS; Pan-STARRS","ZTF21acekmmm","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.547","g-ZTF","2021-09-30 06:08:45.001","ALeRCE","",""
"92359","SN 2021ywf","05:14:10.992","+01:52:52.34","SN Ic-BL","0.02825","","","AMPEL, Fink, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","AMPEL; ATLAS; Fink; Pan-STARRS","ZTF21acbnfos","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","20.03","r-ZTF","2021-09-12 11:10:58.080","ZTF_AMPEL_NEW","",""
"91007","SN 2021wwm","21:10:21.934","-42:04:22.23","SN Ic-BL","0.04","","","ATLAS, MASTER","ATLAS, MASTER","ePESSTO+","ATLAS; MASTER","ATLAS21bgss","ATLAS-HKO - ATLAS-02, Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","18.021","orange-ATLAS","2021-08-25 09:54:43.200","ATLAS_Bot1","",""
"89317","SN 2021ukr","13:38:43.680","-15:38:17.30","SN Ic-BL","0.04","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts","ATLAS21bcqe","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.344","orange-ATLAS","2021-07-31 06:07:12.000","ATLAS_Bot1","",""
