"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"94707","SN 2021acfe","00:49:30.761","+23:51:42.33","SN Ic-BL","0.045","","","ZTF, AMPEL, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","SCAT, ePESSTO+","AMPEL; ATLAS; Pan-STARRS; ZTF","ZTF21aciuhqw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT, UH88 - SNIFS","1","1","","19.3","g-ZTF","2021-10-25 05:22:33.600","ZTF_Bot1","","2021TNSTR3649....1F","2021TNSCR3789....1P, 2021TNSCR3787....1C",""
"93855","SN 2021aazw","23:47:34.310","-07:48:25.09","SN Ic-BL","0.023563","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21acgxypn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","19.02","r-ZTF","2021-10-10 07:10:33.600","ZTF_Bot1","","2021TNSTR3468....1F","2021TNSCR3777....1C",""
"93216","SN 2021aabp","23:09:55.085","+09:41:08.98","SN Ic-BL","0.07","SDSS J230955.65+094116.2","","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ALeRCE; ATLAS; Pan-STARRS","ZTF21acekmmm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.547","g-ZTF","2021-09-30 06:08:45.001","ALeRCE","","2021TNSTR3352....1M","2021TNSCR3416....1B",""
"92359","SN 2021ywf","05:14:10.992","+01:52:52.34","SN Ic-BL","0.02825","","","AMPEL, Fink, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","AMPEL; ATLAS; Fink; Pan-STARRS","ZTF21acbnfos","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","20.03","r-ZTF","2021-09-12 11:10:58.080","ZTF_AMPEL_NEW","","2021TNSTR3174....1N","2021TNSCR3339....1C",""
"91007","SN 2021wwm","21:10:21.934","-42:04:22.23","SN Ic-BL","0.04","","","ATLAS, MASTER","ATLAS, MASTER","ePESSTO+","ATLAS; MASTER","ATLAS21bgss","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","18.021","orange-ATLAS","2021-08-25 09:54:43.200","ATLAS_Bot1","","2021TNSTR2922....1T","2021TNSCR2952....1T",""
"89317","SN 2021ukr","13:38:43.680","-15:38:17.30","SN Ic-BL","0.04","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts","ATLAS21bcqe","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.344","orange-ATLAS","2021-07-31 06:07:12.000","ATLAS_Bot1","","2021TNSTR2628....1T","2021TNSCR2659....1P",""
"89111","SN 2021ucw","14:14:14.012","-40:15:59.36","SN Ic-BL","0.04","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bchp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","ESO-NTT - EFOSC2-NTT","1","1","","18.729","orange-ATLAS","2021-07-26 06:10:04.800","ATLAS_Bot1","","2021TNSTR2564....1T","2021TNSCR2619....1M",""
"88735","SN 2021too","21:40:54.286","+10:19:30.54","SN Ic-BL","0.07","","","YSE, ALeRCE, ATLAS, AMPEL, Pan-STARRS","Pan-STARRS, ZTF, ATLAS","ePESSTO+","ALeRCE; AMPEL; ATLAS; Pan-STARRS; YSE","PS21iap","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.5","i-Sloan","2021-07-17 14:22:33.600","YSE_Bot1","","2021TNSTR2481....1J","2021TNSCR2659....1P",""
"86538","SN 2021qjv","15:10:47.072","+49:12:18.05","SN Ic-BL","0.03803","","","ZTF, Pan-STARRS, AMPEL, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20abcjdwu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","19.6777","g-ZTF","2021-06-16 06:55:17.760","ZTF_CLU_PUBLIC","","2021TNSTR2126....1D","2021TNSCR2534....1C",""
"85394","SN 2021otc","15:17:00.578","+22:05:47.31","SN Ic-BL","0.4","","","ALeRCE, ATLAS","ZTF, ATLAS","REFITT","ATLAS; ZTF","ZTF21abeafwt","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","SOAR - Goodman","1","1","","20.7654","r-ZTF","2021-06-04 07:39:24.002","ALeRCE","","2021TNSTR1900....1M","2021TNSCR2881....1W",""
"84273","SN 2021ncn","22:36:32.927","+25:45:40.58","SN Ic-BL","0.024617","IC 5233","0.024617","ALeRCE","ZTF","ZTF","ZTF","ZTF21abchjer","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5843","r-ZTF","2021-05-23 11:09:53.004","ALeRCE","","2021TNSTR1769....1F","2021TNSCR1879....1D",""
"82660","SN 2021ktv","11:03:03.883","+08:51:39.74","SN Ic-BL","0.06","","","ATLAS, ALeRCE, Fink","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS21nqw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.501","orange-ATLAS","2021-05-01 07:42:14.400","ATLAS_Bot1","","2021TNSTR1406....1T","2021TNSCR1718....1T",""
"80748","SN 2021hyz","09:27:36.506","+04:27:10.98","SN Ic-BL","0.0461","WISEA J092736.91+042710.3","0.046169","ALeRCE, Fink, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aartgiv","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.2949","g-ZTF","2021-04-03 03:43:21.003","ALeRCE","","2021TNSTR1011....1F","2021TNSCR1403....1D",""
"80374","SN 2021hku","20:32:01.913","-53:44:58.27","SN Ic-BL","0.011","ESO 186-IG 059","0.010908","ASAS-SN","ASAS-SN","ePESSTO+","ASAS-SN","ASASSN-21en","ASASSN-2 - Cassius","ESO-NTT - EFOSC2-NTT","1","1","","16.7","g-Sloan","2021-03-31 08:23:59.000","Stanek","","2021TNSTR.968....1S","2021TNSCR1030....1P",""
"79081","SN 2021fop","07:46:42.904","+07:12:38.66","SN Ic-BL","0.05","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS21huv","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.625","orange-ATLAS","2021-03-15 07:24:57.600","ATLAS_Bot1","","2021TNSTR.771....1T","2021TNSCR.865....1T",""
"78405","SN 2021epp","08:10:55.286","-06:02:49.39","SN Ic-BL","0.0385","SDSS J081055.23-060249.3","","ALeRCE, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS; ZTF","ZTF21aaocrlm","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.6148","r-ZTF","2021-03-05 04:30:27.000","ALeRCE","","2021TNSTR.685....1M","2021TNSCR.762....1K",""
"76243","SN 2021bmf","16:33:29.416","-06:22:49.51","SN Ic-BL","0.04","","","ATLAS, ZTF","ATLAS, ZTF","ePESSTO+","ATLAS; ZTF","ATLAS21djt","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.12","orange-ATLAS","2021-01-30 14:42:43.200","ATLAS_Bot1","","2021TNSTR.312....1T","2021TNSCR.327....1M",""
"75750","SN 2021aug","01:14:04.809","+19:25:04.71","SN Ic-BL","0.03","WISEA J011404.77+192503.5","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aafnunh","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.727","g-ZTF","2021-01-18 02:46:09.998","ALeRCE","","2021TNSTR.180....1M","2021TNSCR.405....1D",""
"75135","SN 2021xv","16:07:32.810","+36:46:46.33","SN Ic-BL","0.05","SDSS J160732.83+364646.1","0.061","ALeRCE, ATLAS, Fink, ZTF","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aadatfg","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","19.9349","r-ZTF","2021-01-10 12:23:34.999","ALeRCE","","2021TNSTR..96....1F","2021TNSCR.244....1S",""
"74726","SN 2021jw","04:17:34.226","-08:15:37.93","SN Ic-BL","0.06","","","YSE","Pan-STARRS","UCSC","Pan-STARRS","PS21ag","PS1 - GPC1","Keck1 - LRIS","1","1","","20.09","r-Sloan","2021-01-03 07:46:33.600","YSE_Bot1","","2021TNSTR..60....1J","2021TNSCR.133....1S",""
"72492","SN 2020abxl","05:04:22.764","-14:02:46.38","SN Ic-BL","0.0815","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ATLAS20bgzy","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.646","orange-ATLAS","2020-12-07 10:53:45.600","ATLAS_Bot1","","2020TNSTR3692....1T","2020TNSCR3755....1A",""
