col1	col2	col3	col4	col5	col6	col7
165.224157888593	4.9021031072717	-5.44783589820631	6.43125302517914e-08	2.06428021992059e-09	-2.03247391735646e-09	1
177.252	2.765	-2.839	4.981239123e-08	2.186453808e-09	-2.031913569e-09	4
182.482	2.360	-2.465	5.904668952e-08	2.507569974e-09	-2.349951156e-09	4
187.412	2.599	-2.57	5.422070934e-08	2.308188855e-09	-2.167826094e-09	4
192.585	2.764	-2.575	5.260095624e-08	2.244424707e-09	-2.104528062e-09	4
197.806	2.728	-2.457	5.375314812e-08	2.267740272e-09	-2.160781623e-09	4
203.111	2.512	-2.577	5.521637478e-08	2.374124739e-09	-2.208408132e-09	4
208.329	2.565	-2.707	5.308462971e-08	2.278974579e-09	-2.119624101e-09	4
213.568	2.695	-2.674	5.210797347e-08	2.237710944e-09	-2.081646714e-09	4
218.860	2.641	-2.597	5.326136319e-08	2.249926959e-09	-2.113407702e-09	4
224.077	2.727	-2.576	5.176648491e-08	2.260839672e-09	-2.107296114e-09	4
229.565	2.719	-2.761	5.15916198e-08	2.207695287e-09	-2.042950623e-09	4
234.889	2.693	-2.605	5.304905256e-08	2.22792381e-09	-2.117606652e-09	4
240.320	2.686	-2.737	5.107057893e-08	2.18579109e-09	-2.06233545e-09	4
245.813	2.931	-2.808	4.812279234e-08	2.096930241e-09	-1.950160989e-09	4
251.726	2.814	-2.981	4.847125962e-08	2.094951852e-09	-1.946339619e-09	4
257.256	2.676	-2.716	5.211262812e-08	2.267083413e-09	-2.091623289e-09	4
262.698	2.831	-2.766	5.016044187e-08	2.188064382e-09	-2.028071367e-09	4
268.108	2.584	-2.579	5.474898282e-08	2.295636273e-09	-2.188413318e-09	4
273.398	2.872	-2.706	5.09354769e-08	2.159566857e-09	-2.032750104e-09	4
279.017	2.692	-2.747	5.198005848e-08	2.200200324e-09	-2.085804e-09	4
284.539	2.764	-2.831	5.043317832e-08	2.153941566e-09	-2.013125058e-09	4
289.672	2.683	-2.368	5.626187427e-08	2.3093574e-09	-2.227186878e-09	4
295.034	2.738	-2.679	5.268179091e-08	2.218802649e-09	-2.085554667e-09	4
300.537	3.202	-2.765	4.674041337e-08	2.005775268e-09	-1.905385209e-09	4
306.748	2.925	-3.009	4.777549686e-08	2.048428788e-09	-1.90866039e-09	4
312.489	2.747	-2.816	5.03634432e-08	2.166029334e-09	-2.036941893e-09	4
318.262	3.016	-3.026	4.593902586e-08	1.975616391e-09	-1.869302232e-09	4
324.234	2.806	-2.956	4.895561013e-08	2.089069416e-09	-1.950407067e-09	4
329.938	2.746	-2.897	4.933015647e-08	2.082138219e-09	-1.99901268e-09	4
335.364	2.788	-2.68	5.110678104e-08	2.200443147e-09	-2.071828332e-09	4
340.728	2.709	-2.577	5.377510635e-08	2.262318744e-09	-2.13962217e-09	4
346.120	2.836	-2.683	5.151933276e-08	2.232610359e-09	-2.062679829e-09	4
351.834	2.668	-2.878	5.115741582e-08	2.202101244e-09	-2.061668175e-09	4
357.182	2.981	-2.68	4.989691056e-08	2.114505288e-09	-1.991487771e-09	4
362.837	2.661	-2.674	5.213268543e-08	2.206347717e-09	-2.110531584e-09	4
368.424	2.949	-2.926	4.837318647e-08	2.106647067e-09	-1.948244445e-09	4
374.366	3.269	-2.993	4.512235287e-08	1.966175589e-09	-1.837514553e-09	4
380.532	2.863	-2.896	4.959387006e-08	2.112847191e-09	-1.987741917e-09	4
386.467	2.847	-3.072	4.774859103e-08	2.048255622e-09	-1.930967556e-09	4
392.418	2.900	-3.104	4.672978905e-08	1.999070619e-09	-1.891742853e-09	4
398.230	3.095	-2.912	4.732669095e-08	1.989168909e-09	-1.887267879e-09	4
404.316	3.046	-2.991	4.667940165e-08	2.006385255e-09	-1.880059356e-09	4
410.005	2.771	-2.644	5.240241426e-08	2.197067712e-09	-2.091940326e-09	4
415.942	3.099	-3.166	4.518881997e-08	1.888959177e-09	-1.808952579e-09	4
421.763	2.680	-2.722	5.208107415e-08	2.208516849e-09	-2.081023707e-09	4
