GRB/SN,Filename,Datatype,Reference
GRB221009A-SN2022xiw,Xray,https://www.swift.ac.uk/xrt_curves/
GRB221009A-SN2022xiw,GRB221009Axrtlc.txt,Xray,https://www.swift.ac.uk/xrt_curves/
