instrument	time	band	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime	reference	date	date_unit	extinction
UVOT	0.00492	UVW2	19.5	11.044	0	0.04	29499.0	1067.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.0052	UVV	19.5	12.169	0	0.03	53489.0	1458.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00549	UVM2	19.5	11.158	0	0.03	31324.0	854.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00577	UVW1	19.4	11.228	0	0.04	32560.0	1178.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00693	UVW2	19.4	11.464	0	0.03	20035.0	546.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00721	UVV	19.4	12.569	0	0.03	37002.0	1009.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00749	UVM2	19.5	11.548	0	0.03	21870.0	596.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00778	UVW1	19.4	11.718	0	0.03	20732.0	565.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00836	UVB	19.5	12.899	0	0.16	31093.0	4261.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00893	UVW2	19.5	11.864	0	0.03	13860.0	378.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00922	UVV	19.4	12.799	0	0.03	29936.0	816.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00949	UVM2	19.4	11.828	0	0.03	16898.0	461.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.00978	UVW1	19.4	11.978	0	0.03	16317.0	445.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01006	UVU	19.4	12.177	0	0.04	20863.0	755.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01035	UVB	19.5	13.229	0	0.03	22942.0	625.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.0127	UVW2	19.4	12.174	0	0.03	10417.0	284.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01298	UVV	19.5	13.339	0	0.04	18201.0	659.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01327	UVM2	19.4	12.328	0	0.04	10661.0	386.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01355	UVW1	19.5	12.448	0	0.03	10582.0	288.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01384	UVU	19.5	12.587	0	0.03	14300.0	390.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01411	UVB	19.5	13.639	0	0.03	15725.0	429.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01471	UVW2	19.4	12.444	0	0.04	8123.0	294.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01499	UVV	19.4	13.479	0	0.04	15998.0	579.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01528	UVM2	19.4	12.438	0	0.04	9634.0	349.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01556	UVW1	19.4	12.558	0	0.03	9562.0	261.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01585	UVU	19.5	12.817	0	0.03	11570.0	315.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
