time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime	instrument
0.03	67	J	13.59	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	Z	13.69	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	80	i	13.87	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	J	13.64	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	Z	13.73	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	80	i	13.89	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	H	13.67	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	y	13.7	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	80	i	13.98	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	y	13.76	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	H	13.72	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	80	i	14.03	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	J	13.81	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	Z	13.88	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	80	i	14.07	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	J	13.88	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	Z	13.97	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	80	i	14.15	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	y	13.89	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	H	13.87	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	80	i	14.14	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	y	13.93	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	67	H	13.85	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.03	80	i	14.19	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	Z	14.06	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	J	14.0	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	80	i	14.25	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	J	14.06	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	Z	14.15	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	80	i	14.28	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	y	14.06	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	H	13.99	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	80	i	14.31	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	H	14.03	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	y	14.08	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	80	i	14.32	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	J	14.19	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	Z	14.24	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	80	i	14.35	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	Z	14.22	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	J	14.17	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	80	i	14.4	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	H	14.09	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	y	14.16	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	80	i	14.41	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	y	14.21	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	67	H	14.12	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.04	80	i	14.44	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	J	14.28	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	Z	14.33	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	80	i	14.45	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	J	14.25	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	Z	14.32	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	H	14.23	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	y	14.26	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	80	i	14.51	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	H	14.24	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	y	14.28	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	80	i	14.55	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	J	14.33	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	Z	14.4	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	80	i	14.56	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	J	14.36	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
