date	time	integration	freq	flux_density	flux_density_limit	dflux_density	date_unit	time_unit	integration_unit	freq_unit	flux_density_unit	dtime	time_frame	instrument
2013-May-31.521-31.852	34.36	8.0	4.8	0.207	0	0.034	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.1654976851851852	observer	WSRT
2013-Jun-25.453-25.951	59.38	12.0	4.8	0.111	0	0.03	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.2489988425925925	observer	WSRT
2013-Jun-26.450-26.949	60.37	12.0	1.4	0.209	0	0.051	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.2495023148148148	observer	WSRT
2013-Jul-25.371-25.869	89.3	12.0	4.8	0.105	0	0.036	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.2489988425925925	observer	WSRT
2013-Jul-29.360-29.858	93.28	12.0	1.4	0.234	0	0.055	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.2490046296296295	observer	WSRT
2013-Apr-28.611-28.653	1.31	1.0	4.8	2.132	0	0.124	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0210011574074074	observer	WSRT
2013-Apr-28.653-28.694	1.35	1.0	4.8	2.047	0	0.108	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0204976851851851	observer	WSRT
2013-Apr-28.694-28.736	1.39	1.0	4.8	2.244	0	0.095	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0210011574074073	observer	WSRT
2013-Apr-28.736-28.777	1.43	1.0	4.8	2.433	0	0.098	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0204976851851851	observer	WSRT
2013-Apr-28.777-28.819	1.47	1.0	4.8	2.743	0	0.101	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0210011574074074	observer	WSRT
2013-Apr-28.819-28.860	1.51	1.0	4.8	2.64	0	0.105	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0204976851851851	observer	WSRT
2013-Apr-28.860-28.902	1.56	1.0	4.8	2.728	0	0.101	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0210011574074073	observer	WSRT
