time	band	mag	mag_limit	dmag	mag_unit	instrument	time_unit	time_frame	mag_type	extinction_corrected	dtime
0.057	B	17.349	0	0.055	AB	FTN	days	observer	apparent	True	NaN
0.059	B	17.381	0	0.053	AB	FTN	days	observer	apparent	True	NaN
0.062	B	17.434	0	0.053	AB	FTN	days	observer	apparent	True	NaN
0.067	B	17.507	0	0.069	AB	FTN	days	observer	apparent	True	NaN
0.073	B	17.606	0	0.055	AB	FTN	days	observer	apparent	True	NaN
0.081	B	17.691	0	0.055	AB	FTN	days	observer	apparent	True	NaN
0.085	B	17.81	0	0.17	AB	LOAO	days	observer	apparent	True	NaN
0.087	B	17.755	0	0.041	AB	FTN	days	observer	apparent	True	NaN
0.095	B	17.83	0	0.024	AB	FTN	days	observer	apparent	True	NaN
0.102	B	17.918	0	0.06	AB	FTN	days	observer	apparent	True	NaN
0.105	B	17.833	0	0.052	AB	FTN	days	observer	apparent	True	NaN
0.106	B	17.88	0	0.14	AB	LOAO	days	observer	apparent	True	NaN
0.108	B	17.909	0	0.037	AB	FTN	days	observer	apparent	True	NaN
0.112	B	17.969	0	0.041	AB	FTN	days	observer	apparent	True	NaN
0.118	B	18.048	0	0.046	AB	FTN	days	observer	apparent	True	NaN
0.126	B	18.113	0	0.037	AB	FTN	days	observer	apparent	True	NaN
0.141	B	18.199	0	0.029	AB	FTN	days	observer	apparent	True	NaN
0.148	B	18.31	0	0.077	AB	FTN	days	observer	apparent	True	NaN
0.151	B	18.317	0	0.082	AB	FTN	days	observer	apparent	True	NaN
0.154	B	18.239	0	0.026	AB	FTN	days	observer	apparent	True	NaN
0.158	B	18.318	0	0.033	AB	FTN	days	observer	apparent	True	NaN
0.164	B	18.387	0	0.047	AB	FTN	days	observer	apparent	True	NaN
0.172	B	18.421	0	0.028	AB	FTN	days	observer	apparent	True	NaN
0.178	B	18.43	0	0.049	AB	FTN	days	observer	apparent	True	NaN
0.187	B	18.492	0	0.044	AB	FTN	days	observer	apparent	True	NaN
0.192	B	18.472	0	0.092	AB	FTN	days	observer	apparent	True	NaN
0.195	B	18.615	0	0.063	AB	FTN	days	observer	apparent	True	NaN
0.198	B	18.599	0	0.05	AB	FTN	days	observer	apparent	True	NaN
0.202	B	18.56	0	0.044	AB	FTN	days	observer	apparent	True	NaN
0.209	B	18.607	0	0.027	AB	FTN	days	observer	apparent	True	NaN
0.216	B	18.689	0	0.035	AB	FTN	days	observer	apparent	True	NaN
0.223	B	18.661	0	0.023	AB	FTN	days	observer	apparent	True	NaN
0.232	B	18.748	0	0.043	AB	FTN	days	observer	apparent	True	NaN
0.236	B	18.84	0	0.123	AB	FTN	days	observer	apparent	True	NaN
0.239	B	18.732	0	0.067	AB	FTN	days	observer	apparent	True	NaN
0.242	B	18.759	0	0.05	AB	FTN	days	observer	apparent	True	NaN
0.246	B	18.791	0	0.034	AB	FTN	days	observer	apparent	True	NaN
0.252	B	18.881	0	0.045	AB	FTN	days	observer	apparent	True	NaN
0.475	B	19.842	0	0.167	AB	Shajn	days	observer	apparent	True	NaN
0.478	B	19.792	0	0.157	AB	Shajn	days	observer	apparent	True	NaN
0.481	B	19.382	0	0.13	AB	Shajn	days	observer	apparent	True	NaN
0.488	B	19.605	0	0.23	AB	Shajn	days	observer	apparent	True	NaN
0.491	B	19.52	0	0.02	AB	Maidanak	days	observer	apparent	True	NaN
0.491	B	19.528	0	0.227	AB	Shajn	days	observer	apparent	True	NaN
0.494	B	19.608	0	0.285	AB	Shajn	days	observer	apparent	True	NaN
0.495	B	19.54	0	0.02	AB	Maidanak	days	observer	apparent	True	NaN
0.503	B	19.508	0	0.303	AB	Shajn	days	observer	apparent	True	NaN
0.506	B	19.608	0	0.195	AB	Shajn	days	observer	apparent	True	NaN
0.508	B	19.57	0	0.03	AB	Maidanak	days	observer	apparent	True	NaN
0.509	B	19.588	0	0.159	AB	Shajn	days	observer	apparent	True	NaN
0.512	B	19.57	0	0.02	AB	Maidanak	days	observer	apparent	True	NaN
0.513	B	19.725	0	0.298	AB	Shajn	days	observer	apparent	True	NaN
0.516	B	19.882	0	0.168	AB	Shajn	days	observer	apparent	True	NaN
0.519	B	19.595	0	0.121	AB	Shajn	days	observer	apparent	True	NaN
0.522	B	19.685	0	0.082	AB	Shajn	days	observer	apparent	True	NaN
0.525	B	19.62	0	0.03	AB	Maidanak	days	observer	apparent	True	NaN
0.528	B	19.61	0	0.03	AB	Maidanak	days	observer	apparent	True	NaN
0.528	B	19.895	0	0.079	AB	Shajn	days	observer	apparent	True	NaN
0.531	B	19.738	0	0.085	AB	Shajn	days	observer	apparent	True	NaN
0.534	B	19.765	0	0.077	AB	Shajn	days	observer	apparent	True	NaN
0.537	B	19.762	0	0.084	AB	Shajn	days	observer	apparent	True	NaN
0.54	B	19.63	0	0.02	AB	Maidanak	days	observer	apparent	True	NaN
0.541	B	19.842	0	0.097	AB	Shajn	days	observer	apparent	True	NaN
