date	time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	date_unit	time_unit	time_frame	integration_unit	mag_unit	flux_density_unit	extinction_corrected	instrument	dtime	reference
2013-07-11	9.974	2X60	u'	21.42	0	0.04	12.0	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-13	11.966	2X60	u'	21.51	0	0.07	11.1	0.7	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-16	14.974	2X60	u'	21.7	0	0.14	9.3	1.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-20	18.971	2X60	u'	22.53	0	0.6	4.3	3.2	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-22	20.972	2X60	u'	22.54	0	0.51	4.3	2.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-27	25.975	6X60	u'	23.06	0	0.12	2.7	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-30	28.98	8X60	u'	23.21	0	0.11	2.3	0.2	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-04	33.002	8X60	u'	23.2	0	0.16	2.3	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-06	35.966	8X60	u'	23.24	0	0.15	2.2	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-10	39.984	8X60	u'	23.46	0	0.21	1.8	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-10	8.034	1X60	g	20.2	0	0.01	37.2	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-11	9.976	1X60	g	20.12	0	0.01	39.8	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-13	11.968	1X60	g	20.3	0	0.01	33.9	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-16	14.976	1X60	g	20.4	0	0.03	30.8	0.8	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-20	18.973	1X60	g	20.85	0	0.07	20.3	1.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-22	20.974	1X60	g	20.87	0	0.09	20.0	1.8	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-27	25.979	2X60	g	21.21	0	0.03	14.6	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-30	28.987	2X60	g	21.67	0	0.03	9.5	0.2	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-04	33.009	2X60	g	21.85	0	0.04	8.1	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-06	35.973	2X60	g	22.12	0	0.04	6.3	0.2	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-10	39.991	2X60	g	22.17	0	0.06	6.0	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-10	8.035	1X60	r	19.99	0	0.01	44.9	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-10	8.04	1X60	r	19.97	0	0.01	45.7	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-11	9.977	1X60	r	19.91	0	0.01	48.4	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-11	9.982	1X60	r	19.9	0	0.01	48.9	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-13	11.969	1X60	r	19.84	0	0.01	51.6	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-16	14.977	1X60	r	19.82	0	0.01	52.7	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-20	18.974	1X60	r	19.93	0	0.01	47.4	0.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-22	20.968	1X60	r	19.94	0	0.02	47.1	0.9	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-27	25.981	1X60	r	20.25	0	0.01	35.4	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-30	28.989	1X60	r	20.35	0	0.01	32.2	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-04	33.011	1X60	r	20.68	0	0.02	23.7	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-06	35.975	1X60	r	20.95	0	0.02	18.6	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-10	39.994	1X60	r	21.2	0	0.03	14.8	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-10	8.037	1X60	i	20.22	0	0.02	36.3	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-11	9.979	1X60	i	20.14	0	0.01	39.3	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-13	11.971	1X60	i	20.07	0	0.01	41.8	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-16	14.978	1X60	i	19.93	0	0.02	47.3	0.7	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-20	18.976	1X60	i	19.76	0	0.08	55.3	4.0	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-22	20.977	1X60	i	19.99	0	0.02	44.8	1.0	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-27	25.982	1X60	i	20.23	0	0.02	35.9	0.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-07-30	28.99	1X60	i	20.28	0	0.02	34.3	0.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-04	33.013	1X60	i	20.49	0	0.05	28.4	1.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-06	35.977	1X60	i	20.6	0	0.03	25.5	0.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
2013-08-10	39.995	1X60	i	21.02	0	0.06	17.4	0.9	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
	330.49	203	u'	24.5	0	0.14				days	observer	seconds	AB		False	Keck/LRIS		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
