date	time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	date_unit	time_unit	time_frame	integration_unit	mag_unit	flux_density_unit	extinction_corrected	instrument	dtime
2013-07-10	8.032	2X60	u	21.36	0	0.04	12.7	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-11	9.974	2X60	u	21.42	0	0.04	12.0	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-13	11.966	2X60	u	21.51	0	0.07	11.1	0.7	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-16	14.974	2X60	u	21.7	0	0.14	9.3	1.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-20	18.971	2X60	u	22.53	0	0.6	4.3	3.2	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-22	20.972	2X60	u	22.54	0	0.51	4.3	2.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-27	25.975	6X60	u	23.06	0	0.12	2.7	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-30	28.98	8X60	u	23.21	0	0.11	2.3	0.2	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-04	33.002	8X60	u	23.2	0	0.16	2.3	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-06	35.966	8X60	u	23.24	0	0.15	2.2	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-10	39.984	8X60	u	23.46	0	0.21	1.8	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-10	8.034	1X60	g	20.2	0	0.01	37.2	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-11	9.976	1X60	g	20.12	0	0.01	39.8	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-13	11.968	1X60	g	20.3	0	0.01	33.9	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-16	14.976	1X60	g	20.4	0	0.03	30.8	0.8	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-20	18.973	1X60	g	20.85	0	0.07	20.3	1.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-22	20.974	1X60	g	20.87	0	0.09	20.0	1.8	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-27	25.979	2X60	g	21.21	0	0.03	14.6	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
