date	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit
2728.4177083-2728.4178241	R	14.616	0	0.022	MJD-MJD	Unspecified	0.43356862847222216	days
2728.4182755-2728.4184491	B	15.291	0	0.013	MJD-MJD	Unspecified	0.43416472800925926	days
2728.4188310-2728.4189468	V	14.939	0	0.009	MJD-MJD	Unspecified	0.4346913310185186	days
2728.4193750-2728.4194907	R	14.616	0	0.023	MJD-MJD	Unspecified	0.4352352777777779	days
2728.4198264-2728.4200000	B	15.293	0	0.013	MJD-MJD	Unspecified	0.43571563078703707	days
2728.4202778-2728.4203935	V	14.939	0	0.009	MJD-MJD	Unspecified	0.43613807870370364	days
2728.4207523-2728.4208681	R	14.627	0	0.023	MJD-MJD	Unspecified	0.4366126331018518	days
2728.4211458-2728.4213194	B	15.293	0	0.013	MJD-MJD	Unspecified	0.43703502893518514	days
2728.4216782-2728.4217940	V	14.945	0	0.009	MJD-MJD	Unspecified	0.43753853009259264	days
2728.4220833-2728.4221991	R	14.62	0	0.022	MJD-MJD	Unspecified	0.4379436284722222	days
2728.4226389-2728.4228125	B	15.295	0	0.013	MJD-MJD	Unspecified	0.4385281307870372	days
2728.4230903-2728.4232060	V	14.951	0	0.009	MJD-MJD	Unspecified	0.43895057870370374	days
2728.4234722-2728.4235880	R	14.626	0	0.023	MJD-MJD	Unspecified	0.4393325289351852	days
2728.4238657-2728.4240394	B	15.307	0	0.013	MJD-MJD	Unspecified	0.4397549768518519	days
2728.4243403-2728.4244560	V	14.951	0	0.009	MJD-MJD	Unspecified	0.4402005787037037	days
2728.4247801-2728.4248958	R	14.628	0	0.023	MJD-MJD	Unspecified	0.4406403819444445	days
2728.4252083-2728.4253819	B	15.31	0	0.013	MJD-MJD	Unspecified	0.4410975289351852	days
2728.4256713-2728.4257870	V	14.962	0	0.009	MJD-MJD	Unspecified	0.4415315798611112	days
2728.4260764-2728.4261921	R	14.629	0	0.023	MJD-MJD	Unspecified	0.44193667824074073	days
