date	time	integration	freq	flux_density	flux_density_limit	dflux_density	date_unit	time_unit	integration_unit	freq_unit	flux_density_unit	dtime
2003-Jul-29.675-29.800	122.254	3.0	1.4	1.72	0	0.15	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0625
2003-Aug-2.546-2.595	126.086	1.2	4.8	2.13	0	0.07	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0245023148148147
2003-Aug-2.619-2.668	126.159	1.2	2.3	0.8	0	0.27	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0245023148148148
2003-Aug-2.692-2.740	126.232	1.2	1.4	1.93	0	0.18	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0240046296296296
2003-Sep-13.535-13.701	168.134	4.0	4.8	1.28	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0829976851851851
2003-Sep-16.196-16.250	170.739	1.3	1.4	2.29	0	0.19	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0270023148148148
2003-Sep-28.161-28.285	182.739	3.0	2.3	1.95	0	0.09	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0620023148148148
2003-Oct-11.291-11.458	195.891	4.0	1.4	1.4	0	0.21	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0835011574074074
2003-Nov-29.248-29.491	244.885	5.8	1.4	1.15	0	0.09	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.1214988425925926
2003-Dec-1.128-1.288	246.724	3.8	4.8	0.85	0	0.04	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.08
