time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit
0.6601	15.346	0	0.02	U	FLWO	days	Unknown
0.6796	15.394	0	0.05	U	KAIT	days	Unknown
0.6841	15.381	0	0.02	U	FLWO	days	Unknown
0.6989	15.369	0	0.01	U	FLWO	days	Unknown
0.7041	15.442	0	0.04	U	KAIT	days	Unknown
0.7091	15.434	0	0.01	U	FLWO	days	Unknown
0.7191	15.49	0	0.01	U	FLWO	days	Unknown
0.7198	15.458	0	0.05	U	KAIT	days	Unknown
0.7291	15.525	0	0.01	U	FLWO	days	Unknown
0.7391	15.557	0	0.01	U	FLWO	days	Unknown
0.7505	15.584	0	0.01	U	FLWO	days	Unknown
0.759	15.599	0	0.05	U	KAIT	days	Unknown
0.7609	15.61	0	0.01	U	FLWO	days	Unknown
0.7712	15.63	0	0.01	U	FLWO	days	Unknown
0.7746	15.624	0	0.04	U	KAIT	days	Unknown
0.7816	15.643	0	0.01	U	FLWO	days	Unknown
0.792	15.678	0	0.01	U	FLWO	days	Unknown
0.8023	15.715	0	0.01	U	FLWO	days	Unknown
0.8098	15.707	0	0.05	U	KAIT	days	Unknown
0.8127	15.758	0	0.02	U	FLWO	days	Unknown
0.8231	15.774	0	0.02	U	FLWO	days	Unknown
0.8324	15.814	0	0.05	U	KAIT	days	Unknown
0.8334	15.823	0	0.02	U	FLWO	days	Unknown
0.8438	15.775	0	0.02	U	FLWO	days	Unknown
0.8536	15.851	0	0.06	U	KAIT	days	Unknown
0.8542	15.85	0	0.02	U	FLWO	days	Unknown
0.8645	15.862	0	0.02	U	FLWO	days	Unknown
0.8694	15.993	0	0.06	U	KAIT	days	Unknown
0.8749	15.941	0	0.02	U	FLWO	days	Unknown
0.8853	15.936	0	0.06	U	KAIT	days	Unknown
0.8853	15.963	0	0.02	U	FLWO	days	Unknown
0.8956	15.982	0	0.02	U	FLWO	days	Unknown
0.9039	16.025	0	0.06	U	KAIT	days	Unknown
0.9059	16.059	0	0.02	U	FLWO	days	Unknown
0.9164	16.063	0	0.02	U	FLWO	days	Unknown
0.9199	16.086	0	0.07	U	KAIT	days	Unknown
0.9268	16.072	0	0.02	U	FLWO	days	Unknown
