date	time	band	integration	airmass	mag	mag_limit	dmag	flux_density	dflux_density	date_unit	time_unit	integration_unit	mag_unit	flux_density_unit	dtime
2003-Apr-09-02:33:09	10.622	I	600.0	1.61	18.75	0	0.06	76.2	5.7	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-09-02:25:49	10.617	J	1680.18	1.61	18.0	0	0.21	98.0	19.7	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-10-03:05:21	11.645	B	600.0	1.65	20.22	0	0.08	32.7	2.5	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-10-03:31:19	11.663	V	600.0	1.72	19.59	0	0.07	51.8	4.0	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-10-03:17:38	11.653	I	600.0	1.68	18.96	0	0.08	62.4	5.7	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-11-02:47:16	12.632	B	600.0	1.63	20.32	0	0.11	29.8	3.2	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-11-03:12:50	12.65	V	600.0	1.68	19.76	0	0.09	44.5	4.0	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-11-03:00:10	12.641	I	600.0	1.65	19.23	0	0.12	48.8	5.9	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-11-02:47:14	12.632	J	1800.19	1.63	18.44	0	0.26	65.5	15.9	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-15-02:58:11	16.64	J	1920.15	1.68	18.94	0	0.32	41.1	12.3	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-21-23:36:46	23.5	V	450.0	1.9	20.48	0	0.11	22.9	2.5	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-21-23:46:05	23.506	V	450.0	1.85	20.5	0	0.12	22.4	2.6	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-21-23:55:43	23.513	I	450.0	1.8	19.8	0	0.19	28.9	5.3	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
2003-Apr-22-00:05:07	23.519	I	450.0	1.76	19.42	0	0.14	40.8	5.5	yyyy-month-dd-hh:mm:ss	days	seconds	unspecified	microJy	NaN
