event,time,magnitude,e_magnitude,band,ra,dec,source,refs
2012bz,56039.99,22.21,0.1,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.99,22.01,0.18,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.99,22.19,0.14,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56039.99,22.01,0.2,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.015,22.12,0.05,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.015,22.13,0.07,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.015,22.17,0.07,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.036,22.15,0.07,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.036,22.27,0.1,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.036,22.02,0.05,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.036,22.09,0.11,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.04,22.22,0.06,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.047,22.16,0.06,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.047,22.1,0.05,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.057,22.11,0.08,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.057,22.22,0.07,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.0599,22.16,0.11,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.078,22.32,0.09,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.089,22.18,0.06,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.089,22.12,0.08,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.089,22.37,0.17,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.149,22.23,0.17,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.161,22.28,0.1,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.173,22.14,0.1,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.3685,21.65,0.42,H,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.652,21.07,,b,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.871,22.48,0.12,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56040.888,22.28,0.08,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.067,22.59,0.1,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.067,22.5,0.16,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.0675,22.17,0.16,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.068,22.34,0.09,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.1039,22.28,0.27,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.104,22.79,0.16,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.104,22.59,0.19,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.104,22.47,0.12,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.111,20.27,,v,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.924,22.37,0.13,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56041.949,22.23,0.06,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56042.104,22.94,,u,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56042.3348,22.29,0.31,H,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56042.866,22.33,0.14,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56042.885,22.35,0.06,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56042.938,22.07,0.06,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56043.239,22.86,0.06,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56043.247,22.12,0.06,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56043.255,22.29,0.06,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56043.2633,22.59,0.07,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56043.874,22.18,0.08,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56047.89,21.56,0.08,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56048.0179,21.86,0.15,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56048.018,22.38,0.1,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56048.018,21.56,0.08,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56048.018,21.48,0.05,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56048.9026,21.6,0.17,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56048.967,21.45,0.1,R,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56048.987,21.52,0.08,ii,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56049.1898,21.68,0.16,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56049.8781,21.93,0.08,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56049.9204,21.93,0.17,Y,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56049.9727,21.83,0.2,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56050.0107,21.78,0.12,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56050.011,22.35,0.08,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56050.011,21.49,0.05,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56050.011,21.33,0.04,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56051.997,23.0,0.17,u,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56052.2354,21.75,0.24,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56052.2596,21.44,0.13,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56052.958,21.41,0.1,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56053.886,21.25,0.06,R,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56053.903,21.2,0.09,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56053.916,21.34,0.05,ii,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56053.969,22.14,0.11,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56053.972,21.37,0.14,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56053.977,21.58,0.07,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
