col1 col2 col3 col4 col5 col6
104.49 6.814 -5.723 9.68361e-11 2.1724992e-11 -2.1724992e-11
124.638 16.754 -13.334 4.042584e-11 8.896293e-12 -8.896293e-12
166.105 32.955 -24.714 2.0682192e-11 4.532241e-12 -4.532241e-12
270.414 104.158 -71.354 3.846620999999999e-12 8.689224e-13 -8.689224e-13
451.164 106.443 -76.592 2.7319635e-12 7.150356e-13 -7.150356e-13
654.693 83.441 -97.086 2.9536047e-12 7.499934e-13 -7.499934e-13
832.695 80.951 -94.561 2.8660644e-12 7.456028999999999e-13 -7.456028999999999e-13
995.672 118.56 -82.026 2.658108e-12 6.749595e-13 -6.749595e-13
1216.311 88.477 -102.079 3.532173e-12 7.960823999999999e-13 -7.960823999999999e-13
1386.323 76.426 -81.535 4.446477e-12 9.839961e-13 -9.839961e-13
1556.101 72.131 -93.352 4.273818e-12 9.427167000000002e-13 -9.427167000000002e-13
1705.992 122.826 -77.76 3.338022e-12 7.583388e-13 -7.583388e-13
1891.36 82.883 -62.542 4.641525e-12 1.0472955e-12 -1.0472955e-12
2037.474 59.627 -63.231 5.586081e-12 1.2589932e-12 -1.2589932e-12
2166.633 63.357 -69.531 5.129556e-12 1.1534877e-12 -1.1534877e-12
2384.587 128.601 -154.597 2.3767284e-12 5.802585e-13 -5.802585e-13
7244.701 212.807 -170.814 1.3407588000000001e-12 3.517362e-13 -3.517362e-13
7572.399 100.738 -114.891 2.4022056e-12 6.245615999999999e-13 -6.245615999999999e-13
7889.982 259.537 -216.844 1.9670103e-12 3.831729e-13 -3.831729e-13
12982.069 275.638 -223.319 1.2471882e-12 3.2659350000000003e-13 -3.2659350000000003e-13
13645.683 321.587 -387.975 9.765560999999998e-13 2.4697436999999996e-13 -2.4697436999999996e-13
18236.856 358.843 -1039.676 7.469445e-13 1.9806294e-13 -1.9806294e-13
19261.265 462.714 -665.566 9.147798e-13 1.7362091999999998e-13 -1.7362091999999998e-13
24270.503 380.613 -404.177 6.840483e-13 1.8064995e-13 -1.8064995e-13
24958.88 509.61 -307.764 7.339844999999999e-13 1.8434294999999999e-13 -1.8434294999999999e-13
29730.042 322.414 -562.669 6.321720000000001e-13 1.6173447e-13 -1.6173447e-13
30744.585 4333.592 -692.129 5.121903e-13 1.2637002e-13 -1.2637002e-13
133289.199 6115.14 -6351.241 9.2337e-14 0.0 0.0
