col1 col2 col3 col4 col5 col6
508.979 34.518 -65.774 7.53539454e-12 1.647952143e-12 -1.647952143e-12
628.696 122.909 -85.199 3.4339381800000002e-12 7.758464130000001e-13 -7.758464130000001e-13
801.986 80.0 -50.381 5.5018077e-12 1.241614422e-12 -1.241614422e-12
943.014 89.41 -61.029 4.7081917800000004e-12 1.076191335e-12 -1.076191335e-12
1102.607 110.344 -70.183 3.97734351e-12 8.95513044e-13 -8.95513044e-13
1322.246 63.709 -109.295 3.094755468e-12 8.11448865e-13 -8.11448865e-13
1477.487 81.474 -91.531 4.17132318e-12 9.38106429e-13 -9.38106429e-13
1643.493 108.53 -84.533 2.933310336e-12 7.48319226e-13 -7.48319226e-13
1851.582 131.114 -99.559 3.091268013e-12 7.008571380000001e-13 -7.008571380000001e-13
2043.773 49.244 -61.077 6.51347049e-12 1.461476142e-12 -1.461476142e-12
2158.412 77.522 -65.395 5.02249764e-12 1.12823175e-12 -1.12823175e-12
2346.362 80.128 -110.428 2.808022575e-12 7.32859647e-13 -7.32859647e-13
2490.722 81.192 -64.232 4.91360337e-12 1.108871388e-12 -1.108871388e-12
2707.304 197.657 -135.39 1.7261695619999999e-12 4.86743097e-13 -4.86743097e-13
6342.196 123.947 -131.8 2.4207564750000003e-12 6.079230840000001e-13 -6.079230840000001e-13
6647.4 187.318 -181.258 1.576727946e-12 4.11495819e-13 -4.11495819e-13
7126.004 192.627 -291.285 1.1909163420000001e-12 3.118142181e-13 -3.118142181e-13
7515.826 138.784 -197.196 1.728973914e-12 4.5074334e-13 -4.5074334e-13
7843.617 209.657 -189.006 1.457493282e-12 3.79764066e-13 -3.79764066e-13
8317.233 332.766 -263.96 1.334965401e-12 3.026017779e-13 -3.026017779e-13
18689.419 310.013 -211.509 1.1457203639999998e-12 2.999175657e-13 -2.999175657e-13
19273.041 418.402 -273.609 8.631648960000001e-13 2.2765880610000003e-13 -2.2765880610000003e-13
27618.804 9796.251 -3501.695 3.54103395e-13 7.08475911e-14 -7.08475911e-14
99614.041 6237.264 -6267.553 1.398420732e-13 3.67688283e-14 -3.67688283e-14
204535.175 688397.541 -2905.452 4.039104000000001e-14 0.0 0.0
