date	instrument	integration	mag	dmag	mag_unit	mag_type	date_unit	time_frame	extinction_corrected
1998-Mar-27.31	Keck II	NaN	R	21.19	0.1	Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-27.401	AAT	240	R	21.98	0.16		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-27.437	AAT	240	R	22.18	0.16		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-27.84	BO 1.5 m	3600	R	>21.85	NaN	Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-27.852	CAHA	3300	R	>22.0	NaN	Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-28.016	ESO NTT	1200	R	23.66	0.12		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-28.017	ESO 1.5Dan	2700	R	23.43	0.25		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-28.045	CTIO 4 m	600	R	23.50	0.12		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-28.120	FLW 1.2 m	3600	R	>22.5	NaN		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-28.178	ESO NTT	1200	R	23.60	0.12		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-28.25	Keck II	NaN	R	23.69	0.1	GCN 32	Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-29.09	CTIO 4 m	3120	B	25.03	0.33		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-29.035	ESO NTT	1800	I	>22.4	NaN	Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-29.008	ESO NTT	1800	V	>24.2	NaN	Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-29.424	AAT	480	R	>23.0	NaN	Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-30.078	ESO NTT	5400	R	24.88	0.32		Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-30.2	Keck II	NaN	R	25.03	0.15	Vega	apparent	yyyy-month-deciday	observer	false
1998-Mar-31.082	ESO NTT	5400	R	25.20	0.23	Vega	apparent	yyyy-month-deciday	observer	false
1998-Apr-01.080	ESO NTT	5400	R	>24.9	NaN	Vega	apparent	yyyy-month-deciday	observer	false
1998-Apr-7.15	KPNO 4 m	3300	R	>24.4	NaN	Vega	apparent	yyyy-month-deciday	observer	false
1998-Apr-17.3	Keck II	NaN	R	25.5	0.5	Vega	apparent	yyyy-month-deciday	observer	false
