time	band	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	instrument	time_frame	extinction_corrected	dtime
11271.0	clear	300.0	17.528	0	0.014	302.6	3.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
12477.0	clear	300.0	17.625	0	0.014	276.7	3.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
15537.0	clear	300.0	17.919	0	0.022	211.1	4.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
16744.0	clear	300.0	18.021	0	0.022	192.1	3.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2098.0	B	20.0	15.623	0	0.045	2327.0	94.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2249.0	B	20.0	15.75	0	0.041	2070.1	76.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2373.0	B	20.0	15.814	0	0.042	1951.6	74.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2546.5	B	40.0	15.911	0	0.037	1784.8	59.8	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2791.0	B	40.0	16.094	0	0.035	1508.0	47.8	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3097.3	B	60.0	16.305	0	0.031	1241.6	34.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3465.0	B	60.0	16.378	0	0.04	1160.9	42.0	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3771.5	B	40.0	16.574	0	0.043	969.2	37.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
4075.7	B	60.0	16.602	0	0.045	944.5	38.3	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
5493.7	B	120.0	17.036	0	0.035	633.3	20.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
6117.3	B	120.0	17.173	0	0.036	558.2	18.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
6720.7	B	120.0	17.412	0	0.068	447.9	27.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
7789.0	B	300.0	17.518	0	0.023	406.3	8.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
8984.0	B	300.0	17.737	0	0.03	332.0	9.0	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
10236.0	B	300.0	17.833	0	0.028	303.9	7.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
11435.0	B	300.0	18.065	0	0.044	245.5	9.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
14508.0	B	300.0	18.44	0	0.052	173.8	8.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
15707.0	B	300.0	18.49	0	0.058	166.0	8.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1157.0	V	20.0	14.345	0	0.022	6745.3	135.3	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1248.0	V	20.0	14.442	0	0.022	6168.8	123.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1339.0	V	20.0	14.651	0	0.022	5088.6	102.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1435.0	V	20.0	14.815	0	0.025	4375.2	99.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
