time	band	integration	mag	dmag	mag_limit	flux_density	dflux_density	flux_density_limit	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	instrument	time_frame	extinction_corrected	dtime
55.0	J	7.8	4.595	0.133	0	23100000.0	2660000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
63.2	J	7.8	5.07	0.133	0	14900000.0	1720000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
71.2	J	7.8	5.56	0.133	0	9510000.0	1100000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
91.2	J	7.8	6.572	0.133	0	3740000.0	431000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
99.4	J	7.8	6.71	0.133	0	3300000.0	380000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
107.4	J	7.8	7.004	0.133	0	2510000.0	290000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
127.0	J	7.8	7.421	0.133	0	1710000.0	197000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
135.2	J	7.8	7.599	0.133	0	1450000.0	167000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
143.2	J	7.8	7.832	0.133	0	1170000.0	135000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
163.1	J	7.8	7.951	0.133	0	1050000.0	121000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
171.4	J	7.8	8.173	0.133	0	856000.0	98700.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
179.3	J	7.8	8.436	0.133	0	672000.0	77500.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
199.3	J	7.8	8.783	0.133	0	488000.0	56200.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
207.5	J	7.8	8.824	0.133	0	470000.0	54200.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
215.5	J	7.8	8.904	0.133	0	437000.0	50300.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
235.4	J	7.8	9.09	0.133	0	368000.0	42400.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
243.7	J	7.8	9.25	0.133	0	318000.0	36600.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
251.6	J	7.8	9.267	0.133	0	313000.0	36000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
271.6	J	7.8	9.683	0.133	0	213000.0	24600.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
279.9	J	7.8	9.808	0.133	0	190000.0	21900.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
287.8	J	7.8	9.814	0.133	0	189000.0	21800.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
55.0	H	7.8	4.387	0.191	0	18000000.0	2900000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
63.2	H	7.8	4.805	0.191	0	12200000.0	1970000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
71.2	H	7.8	5.159	0.191	0	8840000.0	1420000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
91.2	H	7.8	5.818	0.191	0	4820000.0	776000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
99.4	H	7.8	6.386	0.191	0	2860000.0	460000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
107.4	H	7.8	6.421	0.191	0	2760000.0	445000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
127.0	H	7.8	6.756	0.191	0	2030000.0	327000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
135.2	H	7.8	7.04	0.191	0	1560000.0	252000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
143.2	H	7.8	7.048	0.191	0	1550000.0	250000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
163.1	H	7.8	7.476	0.191	0	1050000.0	169000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
171.4	H	7.8	7.461	0.191	0	1060000.0	171000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
179.3	H	7.8	7.624	0.191	0	913000.0	147000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
199.3	H	7.8	8.025	0.191	0	631000.0	102000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
207.5	H	7.8	8.13	0.191	0	573000.0	923000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
215.5	H	7.8	8.225	0.191	0	525000.0	846000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
235.4	H	7.8	8.364	0.191	0	462000.0	744000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
243.7	H	7.8	8.475	0.191	0	417000.0	672000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
251.6	H	7.8	8.549	0.191	0	389000.0	627000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
271.6	H	7.8	8.966	0.191	0	265000.0	427000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
279.9	H	7.8	9.138	0.191	0	226000.0	365000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
287.8	H	7.8	9.0	0.191	0	257000.0	414000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
307.8	H	7.8	8.99	0.191	0	259000.0	418000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
316.0	H	7.8	9.023	0.191	0	252000.0	405000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
324.0	H	7.8	9.458	0.191	0	169000.0	271000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
55.0	K_{s}	7.8	3.853	0.463	0	19200000.0	6650000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
63.2	K_{s}	7.8	4.2	0.463	0	13900000.0	4830000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
71.2	K_{s}	7.8	4.51	0.463	0	10500000.0	3630000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
91.2	K_{s}	7.8	5.13	0.463	0	5910000.0	2050000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
99.4	K_{s}	7.8	5.659	0.463	0	3630000.0	1260000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
107.4	K_{s}	7.8	5.812	0.463	0	3160000.0	1090000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
127.0	K_{s}	7.8	6.105	0.463	0	2410000.0	836000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
135.2	K_{s}	7.8	6.316	0.463	0	1980000.0	688000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
143.2	K_{s}	7.8	6.506	0.463	0	1670000.0	578000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
163.1	K_{s}	7.8	6.688	0.463	0	1410000.0	489000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
171.4	K_{s}	7.8	6.861	0.463	0	1200000.0	417000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
179.3	K_{s}	7.8	7.068	0.463	0	992000.0	344000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
199.3	K_{s}	7.8	7.345	0.463	0	769000.0	267000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
207.5	K_{s}	7.8	7.437	0.463	0	707000.0	245000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
215.5	K_{s}	7.8	7.577	0.463	0	621000.0	215000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
235.4	K_{s}	7.8	7.739	0.463	0	535000.0	186000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
243.7	K_{s}	7.8	7.883	0.463	0	469000.0	163000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
251.6	K_{s}	7.8	7.813	0.463	0	500000.0	173000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
271.6	K_{s}	7.8	8.373	0.463	0	298000.0	103000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
279.9	K_{s}	7.8	8.468	0.463	0	273000.0	94800.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
287.8	K_{s}	7.8	8.409	0.463	0	289000.0	100000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
307.8	K_{s}	7.8	8.387	0.463	0	295000.0	102000.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
316.0	K_{s}	7.8	8.463	0.463	0	275000.0	95300.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
324.0	K_{s}	7.8	8.54	0.463	0	256000.0	88800.0	0	days	seconds	Vega	apparent	microJy	PAIRITEL	observer	False	NaN
