time	integration	band	mag	dmag	mag_limit	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
1852.06	30.0	V	15.028	0.026	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1852.06	30.0	R	15.274	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1852.06	30.0	I	15.019	0.037	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1852.06	30.0	C_R	14.666	0.043	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1887.61	30.0	V	14.996	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1887.61	30.0	R	15.269	0.029	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1887.61	30.0	I	14.994	0.039	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1887.61	30.0	C_R	14.774	0.049	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1923.25	30.0	V	15.004	0.027	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1923.25	30.0	R	15.342	0.03	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1923.25	30.0	I	15.209	0.043	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1923.25	30.0	C_R	14.726	0.047	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1958.7	30.0	V	15.046	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1958.7	30.0	R	15.352	0.03	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1958.7	30.0	I	15.073	0.041	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1958.7	30.0	C_R	14.832	0.053	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1993.94	30.0	V	15.079	0.026	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1993.94	30.0	R	15.443	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1993.94	30.0	I	15.143	0.039	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
1993.94	30.0	C_R	14.882	0.047	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2029.29	30.0	V	15.176	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2029.29	30.0	R	15.333	0.03	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2029.29	30.0	I	15.197	0.044	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2029.29	30.0	C_R	14.889	0.055	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2064.93	30.0	V	15.157	0.025	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2064.93	30.0	R	15.457	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2064.93	30.0	I	15.182	0.036	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2064.93	30.0	C_R	14.954	0.048	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2100.88	30.0	V	15.188	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2100.88	30.0	R	15.455	0.031	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2100.88	30.0	I	15.371	0.047	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2100.88	30.0	C_R	14.925	0.052	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2136.02	30.0	V	15.222	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2136.02	30.0	R	15.403	0.029	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2136.02	30.0	I	15.268	0.042	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2136.02	30.0	C_R	14.965	0.052	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2171.37	30.0	V	15.294	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2171.37	30.0	R	15.477	0.03	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2171.37	30.0	I	15.338	0.044	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2171.37	30.0	C_R	14.858	0.048	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2224.64	150.0	V	15.229	0.024	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2224.64	150.0	R	15.516	0.025	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2224.64	150.0	I	15.33	0.031	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2224.64	150.0	C_R	14.985	0.035	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2401.79	150.0	V	15.379	0.025	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2401.79	150.0	R	15.68	0.027	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2401.79	150.0	I	15.479	0.034	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2401.79	150.0	C_R	15.139	0.041	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2667.83	300.0	V	15.549	0.023	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2667.83	300.0	R	15.884	0.024	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2667.83	300.0	I	15.593	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
2667.83	300.0	C_R	15.281	0.033	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3023.57	300.0	V	15.828	0.024	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3023.57	300.0	R	16.044	0.025	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3023.57	300.0	I	15.799	0.031	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3023.57	300.0	C_R	15.537	0.039	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3379.09	300.0	V	15.934	0.025	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3379.09	300.0	R	16.227	0.027	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3379.09	300.0	I	15.989	0.034	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3379.09	300.0	C_R	15.625	0.042	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3734.19	300.0	V	15.981	0.026	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3734.19	300.0	R	16.306	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3734.19	300.0	I	16.071	0.037	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
3734.19	300.0	C_R	15.822	0.047	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
4265.78	600.0	V	16.26	0.024	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
4265.78	600.0	R	16.471	0.025	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
4265.78	600.0	I	16.26	0.032	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
4265.78	600.0	C_R	15.965	0.039	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
4976.18	600.0	V	16.407	0.026	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
4976.18	600.0	R	16.763	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
4976.18	600.0	I	16.496	0.036	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
4976.18	600.0	C_R	16.151	0.046	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
5686.59	600.0	V	16.66	0.027	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
5686.59	600.0	R	16.93	0.03	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
5686.59	600.0	I	16.661	0.04	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
5686.59	600.0	C_R	16.322	0.05	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
6396.62	600.0	V	16.78	0.028	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
6396.62	600.0	R	17.046	0.03	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
6396.62	600.0	I	16.853	0.043	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
6396.62	600.0	C_R	16.635	0.064	0	RAPTOR-T	seconds	seconds	AB	apparent	observer	False	NaN
